Blattner	Uniprot
b0540	P0CF68
b1907	P0AAD4
b1912	P0ABF8
b3264	P0ACT2
b0891	P61316
b4066	P32704
b0789	P0AA84
b1747	P0AE37
b4480	P0A8R9
b1846	P33218
b0021	P0CF25
b4120	P02921
b4042	P0ABN1
b0535	P0AEL8
b1950	P33135
b1460	P28917
b0693	P24169
b4062	P0A9E2
b3594	P0ADK6
b2975	Q46839
b1951	P0DMC9
b3331	P45761
b0410	P0AAQ2
b1744	P76215
b2684	P0ACR9
b4377	P39407
b2982	P0CE56
b2076	P76399
b4000	P0ACF0
b2298	P39263
b4126	P0AF59
b0657	P23930
b2957	P00805
b1334	P0A9E5
b3220	P45423
b0361	P0CF53
b1596	P43531
b0453	P77717
b3357	P0ACJ8
b0845	P75810
b2953	P52060
b2105	P64530
b3707	P0AD89
b4366	P39404
b2666	P0AE42
b0511	P75712
b4187	P33224
b3131	P0ACK2
b2013	P33015
b2266	P0AEH5
b0413	P0A8D0
b2366	P00926
b2491	P71229
b1797	P64488
b4265	P39344
b4320	P08191
b1642	P0A8W2
b3328	P41442
b1626	P76180
b1041	P0ABK7
b4471	P42630
b1320	P77615
b1068	P75931
b4284	P0CF90
b3514	P37637
b0069	P33595
b0487	P0A9G4
b2063	P76389
b0804	P75779
b0959	P75869
b1745	P76216
b0321	P77221
b2394	P0CF93
b0451	P69681
b1076	P75937
b3516	P37639
b0513	P77328
b4678	C1P606
b1924	P24216
b2457	P0ABF4
b3292	P0ACS5
b1868	P37348
b1027	P0CF69
b4148	P69937
b1073	P0ABW9
b3684	P31453
b2223	P76460
b3524	P37645
b1944	P0ABX8
b3530	P37650
b0338	P27111
b4057	P0AF50
b0298	P0CF66
b3290	P0AGI8
b1948	P0AC05
b0059	P60240
b3325	P45758
b1495	P31827
b1942	P52613
b2462	P63746
b3649	P0A800
b1188	P29013
b0047	P03819
b1939	P0ABZ1
b3418	P06993
b1798	P76249
b3121	P11864
b1080	P0A6S3
b0806	P0AAX6
b0435	P0ABE2
b0390	P0AE28
b4516	P0CF10
b2882	P67444
b1925	P26608
b4300	P39361
b0445	P46890
b4333	P39382
b1077	P75938
b2174	P76445
b3776	P56259
b1981	P76350
b1947	P22586
b2382	P77396
b3685	P60872
b3106	P42624
b1074	P0ABX2
b1594	P50456
b2915	P64562
b2088	P0CF70
b1453	P77610
b1945	P06974
b1201	P76016
b4364	P0ADD5
b2544	P76584
b1949	P0AC07
b0378	P77562
b2176	P76446
b0265	P0CF08
b0427	P77726
b1943	P52614
b0330	P77743
b1601	P0AFS5
b1780	P39173
b1940	P31068
b3782	P0ADF3
b1522	P76147
b3127	P0AA80
b1081	P75942
b1823	P0A9Y6
b2410	P39836
b0985	P75883
b1078	P0ABX5
b3604	P0ACL7
b0190	P0AA97
b3557	P19768
b4130	P39276
b1937	P0A8T5
b0208	P30864
b1959	P0AA70
b4538	Q2EES3
b1075	P75936
b1922	P0AEM6
b3355	P0AEX5
b3473	P37621
b1946	P15070
b3402	P45804
b2555	P0AD44
b1072	P75933
b3067	P00579
b4023	P32685
b0582	P0CF92
b4081	P32715
b1923	P04949
b0889	P0ACJ0
b2950	P52052
b3689	P31455
b1879	P76298
b4293	P23484
b4234	P0A8X0
b3714	P31466
b1079	P0A6S0
b0313	P17446
b1038	P0AE98
b2840	P03813
b1938	P25798
b1298	P76038
b4251	P39334
b4217	P0ADE2
b3444	P0CF12
b0040	P31553
b2741	P13445
b2981	Q46840
b2142	P0AD19
b3381	P45550
b1042	P28307
b2459	P65643
b2101	P0ACM5
b3098	P64581
b3907	P27125
b1043	P52107
b1512	P76141
b3332	P45762
b2865	Q46798
b3082	P67701
b2440	P19636
b0900	P75836
b2475	P64429
b1015	P07117
b1477	P67699
b0300	P77601
b2368	P52599
b2007	P0A8M6
b0623	P0A972
b2453	P76553
b3422	P38035
b1753	P76222
b0022	P0CF07
b2365	P08555
b1434	P77626
b4135	P0ACU7
b0847	P60869
b1462	P76121
b2667	P77295
b2439	P76541
b2573	P0AGB6
b0961	P0AB12
b2771	Q46909
b1111	P75952
b3943	P0ABT8
b0648	P77427
b0715	P75747
b1301	P37906
b4118	P0ACH8
b4595	A5A613
b3044	P0CF44
b1791	P76242
b4295	P39356
b3295	P0A7Z4
b3329	P41443
b4512	P0AAS9
b1595	P77559
b1302	P50457
b0148	P37024
b1191	P76007
b2852	P76639
b0345	P03023
b2258	P76474
b2593	P33644
b0282	P75684
b2460	P76555
b3423	P0ACL0
b2124	P33355
b0270	P75683
b3075	P06846
b3326	P45759
b2012	P33014
b2399	P27238
b1300	P23883
b3237	P0A6D0
b3655	P31433
b3063	P39414
b4357	P39399
b1821	P76264
b2936	P25894
b1299	P0A9U6
b1297	P78061
b2869	Q46802
b1864	P0A8A0
b4065	P32703
b4212	P0ACN2
b1439	P77730
b0308	P77433
b4185	P39295
b1649	P67430
b0037	P31552
b0761	P0A9G8
b3280	P45795
b4285	Q47718
b0462	P31224
b1356	P76062
b0034	P0AE58
b1532	P31121
b3074	P42589
b0294	P71301
b2461	P76556
b0162	P37047
b2770	Q46908
b0010	P0AC98
b2289	P36771
b3323	P45756
b2375	P76520
b2550	P76586
b2455	P77445
b3884	P32144
b1955	P76329
b1331	P0CE52
b0898	P21503
b4501	Q2EES9
b3512	P63204
b1645	P76186
b1688	P0AFS7
b3764	P0ADN2
b2441	P0AEJ6
b3118	P0ACQ7
b1340	P76053
b0299	P0CF79
b2536	Q47142
b3555	P0A9V5
b3906	P09378
b2578	P38101
b0916	P75843
b2438	P76540
b3169	P0AFF6
b0520	P0AAS5
b1691	P76198
b2837	P03024
b4363	P0ADD2
b4686	C1P620
b0685	P0AAU7
b0564	P05052
b0412	P46122
b0899	P75835
b4479	P31460
b4210	P39314
b3587	P0ADK4
b4618	A5A627
b2571	P0AFX9
b3293	P36677
b4278	P03835
b3350	P45522
b0974	P0AAM1
b1799	P76250
b2966	Q46831
b3890	P0AFU6
b0996	P33226
b1728	P64481
b1384	Q47129
b4473	P30852
b4476	P0AC96
b2202	P0ABL5
b0603	P77746
b1069	P0AF16
b4360	P18390
b1476	P0AEK7
b4192	P39300
b4324	P39161
b1257	P21363
b0988	P57998
b0575	P38054
b1227	P11350
b3585	P37682
b3334	P36678
b4176	P0AF73
b1057	P75925
b3440	P46853
b2709	P37013
b4472	P46474
b1660	P37597
b3892	P0AEL0
b2577	P33634
b0634	P0ABG7
b4469	Q46861
b2203	P0ABL3
b3413	P46846
b3178	P0AAI3
b2766	Q46904
b2014	P0AA47
b4070	P0ABK9
b0730	P13669
b3333	P45763
b0721	P69054
b3395	P45753
b2706	P15081
b1840	P76278
b3664	P31440
b2196	P33927
b2389	P67729
b1667	P0ACX3
b1418	P0ABE5
b3394	P64634
b0676	P0AF20
b1181	P0A8L5
b2923	P11667
b4071	P0ABL1
b0440	P0ACF4
b0874	P75826
b0866	P0A8C1
b2995	P37180
b3393	P45751
b0080	P0ACP1
b0482	P77301
b0019	P13738
b0722	P0AC44
b3556	P0A9X9
b4002	P0AAA9
b4676	C1P602
b3392	P45750
b1962	P46144
b2841	P0AE24
b3226	P0A8W0
b3330	P45760
b3548	P37663
b3136	P42907
b2531	P0AGK8
b4068	P0AF54
b1148	P75977
b2372	P0AA49
b1696	P77402
b2292	P0AFU2
b1464	P37757
b2673	P0AC65
b2458	P77218
b1328	P77333
b0798	P30176
b0557	P77330
b1634	P77304
b1654	P0AC69
b0504	P0ACR0
b0831	P75798
b3644	P23839
b1624	P77376
b3094	P0ACL2
b0456	P0AAQ6
b0280	P71297
b0752	P75757
b2295	P0A8D9
b3520	P37640
b2008	P33011
b4144	P0AF70
b3391	P34749
b2127	P33358
b3221	P45424
b0254	Q57083
b2367	P52600
b3711	P31463
b3327	P41441
b2968	Q46832
b3255	P0ABD8
b2137	P33368
b1531	P0ACH5
b2672	P0ADQ7
b1154	P45581
b4337	P39386
b0113	P0ACL9
b0491	P77307
b2270	P76481
b3901	P32156
b1916	P07026
b1811	P67338
b0568	P31600
b3577	P37674
b1014	P09546
b1528	P31122
b1644	P76185
b3938	P0A8U6
b1104	P75946
b3909	P0A712
b1508	P23873
b3324	P45757
b0823	P75793
b0404	P21515
b1891	P0ABY7
b0387	P0A8D3
b2450	P76550
b3657	P31435
b4133	P23890
b1697	P76201
b4673	P0CD93
b4327	P39376
b1705	P0ACX9
b2356	P76509
b2182	P28246
b3071	P64588
b2835	P39196
b3529	P37649
b2409	P0ACR7
b4060	P32700
b1999	P76359
b3666	P0AGC0
b3819	P27844
b3595	P32109
b4108	P0AFJ1
b1284	P76034
b0702	P0AAU5
b1549	P76156
b3161	P0AAD2
b1490	P0AA89
b0447	P0ACJ5
b4332	P39381
b3356	P0ADX1
b2259	P37590
b0995	P38684
b3803	P09127
b1361	P76066
b3227	P45428
b1517	P76143
b3501	P37309
b2983	Q46841
b4342	P39391
b1120	P75960
b1430	P25397
b3601	P0AF10
b4110	P39267
b1145	P75974
b2098	P76417
b1115	P75955
b3154	P67762
b3525	P37646
b0111	P0AE14
b3461	P0AGB3
b4465	P52048
b0554	P0A9R2
b1599	P69210
b0315	P21514
b2839	P03030
b3474	P0AGM0
b2647	P52143
b1625	P64467
b3057	P60932
b0460	P0ACE3
b2249	P77808
b0277	P77657
b0612	P0AE74
b1194	P76010
b4292	P23485
b1761	P00370
b1784	P76235
b4702	E2JKY7
b2912	P0AC28
b3723	P11989
b1527	P76150
b0250	P77162
b3370	P45539
b1217	P0AE63
b4264	P39343
b4220	P0ADE4
b0986	P75884
b0001	P0AD86
b0376	P0AD70
b3010	Q46855
b0769	P0AAV8
b1548	P31061
b4279	P39352
b2248	P77732
b0890	P46889
b0224	P0AA99
b4419	Q6BF86
b1526	P77309
b4502	P0AFT8
b4307	P39368
b3523	P37643
b1040	P52106
b3409	P33650
b2795	P0ADR8
b2631	P52130
b0346	P77569
b0391	P0C037
b2637	P52135
b2161	P33021
b2376	O32528
b0305	P77379
b3040	P0A8H3
b1436	P64459
b2052	P32055
b2004	P76364
b2437	P36547
b1287	P76035
b2447	P76547
b3874	P32135
b2057	P71237
b3954	P32677
b4221	P39321
b0991	P0AAA5
b2047	P71241
b1182	P77335
b4572	P77129
b2352	P76507
b1533	P31125
b2043	P71244
b2155	P17315
b0306	P77252
b2061	P0AAB2
b4455	P37305
b4393	P0A881
b4598	A5A615
b1568	P76165
b1053	P25744
b0196	P69411
b3987	P0A8V2
b2046	P77377
b2058	P0ACC9
b4421	Q6BF87
b3961	P0ACQ4
b4525	Q2EER5
b1545	P77170
b1363	P23849
b2054	P0ACD2
b0076	P10151
b1206	P0AFR2
b1867	P0ADI7
b2044	P71243
b2646	Q46953
b3181	P0A6W5
b3467	P37615
b1358	P76064
b2587	P0AEX3
b2050	P32057
b0566	P10805
b3816	P0ABI4
b2033	P37750
b2062	P0A930
b4453	Q6BF25
b2714	P24242
b3674	P31443
b1142	P75971
b4464	Q46817
b2053	P0AC88
b4191	P0A9W0
b2106	P76425
b3209	P0ABU5
b2059	P77414
b2005	P64524
b2921	P52044
b2395	P23842
b0247	Q47685
b1985	P76352
b2055	P71239
b1450	P76114
b4544	Q47377
b3113	P0AGL2
b2045	P71242
b0245	P77692
b0768	P52696
b2899	P67153
b1558	P0A976
b1492	P63235
b2028	P76373
b0189	P0AFW8
b3408	P0AEL3
b2832	P67127
b0018	P33236
b2572	P0AFX7
b2535	P54901
b1573	P21418
b0479	P52067
b1659	P0ACR2
b3827	P0ADP5
b2272	P76483
b2608	P0A7X6
b0225	Q47149
b3889	P0ADQ5
b1957	P64517
b4286	Q47719
b3196	P45394
b2035	P37748
b3406	P30128
b0870	P75823
b4249	P39333
b2027	P76372
b4423	Q6BF86
b4178	P0AF63
b1772	P77493
b2633	P52132
b4156	P39282
b2034	P37749
b3119	P11866
b1039	P0AE95
b3242	P46478
b2037	P37746
b4412	P0ACG4
b3905	P09377
b1598	P76176
b2444	P76544
b4082	P32716
b2036	P37747
b0416	P0A780
b0574	P77239
b1506	P76138
b1229	P02338
b2619	P0AGL5
b3773	P05827
b1428	P76100
b2349	P37326
b3754	P31474
b2186	P33920
b2151	P25748
b1196	P76012
b3630	P25741
b0246	Q47684
b1570	P06966
b0960	P75870
b1565	P76163
b0045	P31679
b3197	P45395
b0064	P0A9E0
b0878	P75830
b0392	P75704
b2708	P17115
b0226	Q47150
b4484	P0AE85
b0234	Q47158
b1374	P0ADI0
b4077	P21345
b3546	P37661
b2735	P52598
b2416	P08839
b4672	C1P5Z9
b3624	P27241
b4428	P77494
b1827	P76268
b4596	A5A614
b1355	P76061
b3266	P24181
b3623	P27242
b1399	P76086
b2913	P0A9T0
b1322	P0A8R7
b3632	P25742
b3001	Q46851
b0193	P37056
b1137	P75967
b2789	Q46916
b3621	P24173
b3569	P0ACI3
b4388	P0AGB0
b3921	P0AF34
b0222	P63224
b0712	P75745
b1013	P0ACU2
b3348	P0A8R4
b1353	P38392
b1801	P0ABD1
b3619	P67910
b2624	P33997
b0907	P23721
b1406	P25906
b0200	P63228
b2154	P33018
b3481	P0A6Z6
b0389	P0AAN5
b1562	P0ACG6
b1296	P76037
b1215	P0A715
b4565	P58035
b3079	P42591
b3622	P27243
b1656	P0AGD3
b2707	P15082
b2875	Q46808
b1158	P03014
b0353	P77589
b3629	P27126
b1564	P0C079
b3949	P32672
b2778	P55140
b3631	P25740
b2107	P64534
b2504	P64545
b2363	P76516
b3093	P0AA78
b3052	P76658
b1621	P19642
b2226	P76463
b3620	P37692
b0286	P77165
b2805	P0ACK8
b1906	P46887
b2006	P64526
b1663	P37340
b0918	P04951
b1275	P0A9F3
b3138	P42909
b4182	P0AF78
b3625	P27240
b3887	P0A6M4
b1751	P76220
b1556	P77237
b0401	P0AD99
b0955	P75867
b3243	P67662
b3899	P32154
b1491	P64426
b0885	P0A8P1
b1727	P77247
b2537	Q47141
b1410	P76092
b4067	P32705
b0176	P0AEH1
b1770	P77721
b1736	P69791
b1173	P76000
b4021	P0A7C6
b4394	P39411
b1339	P77744
b0865	P75818
b1157	P33227
b3679	P31448
b3847	P21165
b0506	P0ACN4
b2702	P56579
b0374	P77199
b0237	P15288
b3713	P0AGE6
b1853	P46118
b0219	Q47679
b0562	P77460
b3747	P63183
b3234	P39099
b3521	P37641
b4302	P39363
b4663	C1P605
b0161	P0C0V0
b1635	P0A9D2
b2163	P0A9E9
b4592	P24244
b0544	P77698
b0904	P0AC23
b0970	P0AAC6
b3995	P0AFX4
b3683	P31452
b1003	P0AB14
b0437	P0A6G7
b3503	P0AB96
b1530	P27245
b3584	P37681
b0258	Q47688
b0576	P24207
b1766	P08395
NIL	P24251
b3140	P42911
b2190	P33924
b2480	P0AE52
b4063	P0ACS2
b1056	P0A8X2
b4528	P58042
b4132	P0AAE8
b2620	P0A832
b3753	P0ACQ0
b2092	P69831
b0800	P30177
b0932	P04825
b1324	P0A862
b3828	P0A9F9
b1419	P0ACW4
b0553	P21420
b2670	P64550
b4328	P39377
b1237	P0ACF8
b2703	P56580
b0700	P16918
b1127	P29745
b0605	P0AE08
b1892	P0A8S9
b3013	Q46858
b2644	P52140
b1729	P77529
b0439	P0A9M0
b1735	P17410
b2429	P77272
b2863	Q46797
b3498	P27298
b3048	P76656
b4340	P39389
b4463	Q46911
b2627	P52126
b1006	P75892
b0881	P0A8Q6
b3105	P67660
b0129	P36881
b2433	P76538
b1845	P24555
b0713	P75746
b2427	P77245
b2100	P76419
b2360	P76513
b1473	P46136
b2523	P37095
b1618	P0ACT6
b3599	P00550
b4378	P39408
b2821	P05458
b0355	P51025
b1285	P77334
b1837	P76275
b2003	P64521
b1769	P38055
b2908	P15034
b0483	P0A9T6
b2383	P77439
b3808	P11291
b3235	P0AEE3
b3910	P32157
b3438	P0ACP5
b1725	P77739
b1553	P76158
b2796	P0AAD6
b2269	Q47013
b3515	P63201
b3950	P69816
b1470	P76122
b1538	P24171
b0284	P77489
b4116	P33234
b1379	P52644
b1368	P77658
b4020	P0AF43
b0182	P10441
b3680	P31449
b1817	P69797
b1165	P75992
b1054	P0ACV0
b4167	P31806
b3963	P0ACU5
b0843	P0AAY4
b1152	P75981
b3673	P31442
b2255	P77398
b0020	P0A9G2
b3139	P42910
b0524	P43341
b1732	P21179
b0213	P75672
b1149	P75978
b3824	P0AG34
b1855	P24205
b1620	P18811
b3900	P32155
b4677	C1P604
b0096	P0A725
b1646	P0AGD1
b2731	P19323
b0322	Q2EEQ3
b0558	P77598
b3654	P0AGM9
b2257	P76473
b3973	P06709
b2417	P69783
b0057	P39221
b2253	P77690
b0606	P35340
b4299	P39360
b3550	P37664
b0281	P71298
b0396	P23910
b0181	P0A722
b3023	Q46866
b4304	P39365
b2171	P0A6N8
b0179	P21645
b4470	P42626
b0500	P33669
b0255	P75679
b2392	P0A769
b2378	P0ACV2
b1540	P0ACM2
b2934	P69824
b0699	P0AAU2
b2254	P77757
b0838	P0ACA7
b1162	P75989
b4012	P09163
b2622	P32053
b1657	P77389
b0622	P37001
b0375	P0AAP5
b1738	P69795
b2317	P0ABP6
b3198	P0ABZ4
b2495	P76569
b0316	P77700
b4466	P0CK95
b2641	P76609
b0770	P75763
b1279	P0ACV4
b0796	P0ACU0
b4193	P39301
b2857	Q46793
b1280	P0AB58
b0711	P0AAV4
b4046	P0AC51
b2689	P0ADR0
b2623	P52123
b4356	P39398
b0054	P31554
b2079	P69228
b4194	P69822
b2377	P76521
b2064	P28249
b3908	P00448
b4390	P27278
b2081	P76403
b2357	P76510
b3578	P37675
b0641	P0ADC1
b1323	P07604
b2704	P05706
b4334	P39383
b0285	P77324
b3988	P0A8T7
b1803	P76254
b2000	P39180
b0813	P0AA67
b1187	P0A8V6
b3133	P42904
b3427	P76692
b3882	P0A9V8
b3743	P0ACI6
b1674	P0AAL6
b1362	P77551
b3915	P69380
b2568	P00803
b4205	P39309
b2094	P69828
b1455	P76118
b0027	P00804
b3942	P13029
b2980	P0ACL5
b1316	P77154
b1146	P75975
b3659	P31436
b2610	P0AGD7
b2015	P76369
b2386	P77579
b1121	P75961
b2972	Q46836
b1525	P76149
b1499	P76135
b0771	P75764
b0555	P78285
b2686	P0AEJ0
b3464	P10121
b0817	P0A9F1
b3953	P32676
b0320	P77187
b3789	P61887
b3441	P46854
b0272	P77300
b4406	P0A8K5
b0278	P77607
b4031	P0AGF4
b3786	P27828
b1303	P37344
b1818	P69801
b4655	A8DYQ1
b3784	P0AC78
b0947	P75863
b2090	P36930
b4554	Q2M7R5
b0252	P77206
b0543	P23895
b3792	P0AAA7
b3897	P32152
b3947	P32670
b2602	P11289
b3791	P27833
b0192	P40710
b0629	P30979
b3527	P37648
b4271	P39347
b4123	P0ABN9
b3787	P27829
b2167	P20966
b2141	P60632
b3793	P27835
b1407	P25907
b3783	P0AG30
b1457	P31991
b0560	P31062
b4141	P39277
b3788	P27830
b3982	P0AFG0
b3135	P42906
b3848	P27862
b3785	P0AG00
b1266	P77766
b3036	Q79CP2
b4308	P39369
b2246	P76470
b4481	P56258
b2933	P69826
b3160	P0ADV5
b3794	P27836
b3031	P0A8Z7
b2951	P67080
b2638	P52136
b1600	P69212
b3047	P77616
b2855	Q46791
b1737	P17334
b2850	Q46786
b0533	P75715
b0318	P77736
b2611	P64432
b2448	P76548
b0621	P0ABP3
b2207	P0A9I5
b1422	P77171
b2304	P77775
b3931	P0A6H5
b0909	P43674
b0650	P77319
b1578	P0CF60
b2406	P45562
b3363	P0AFL3
b0099	P08337
b4195	P69820
b4280	P39353
b4316	P31697
b1272	P0AG14
b4238	P28903
b1788	P76239
b1546	P76155
b4296	P39357
b2451	P76551
b3682	P69789
b3369	P64627
b0441	P0ADY1
b2963	P0C066
b1670	P77409
b1359	P76065
b3539	P37660
b2526	P0A6Z1
b2715	P24241
b1446	P64455
b3932	P0A7B8
b0565	P09169
b1295	P0ACV8
b1143	P75972
b2164	P33024
b1243	P23843
b3134	P42905
b0992	P52636
b1743	P77754
b3335	P25960
b0608	P77316
b0551	Q47274
b3876	P32136
b0424	Q46948
b2093	P37188
b0307	P77536
b2199	P0ABM1
b0867	P75820
b4606	A5A621
b0248	P75676
b1534	P31126
b1083	P29744
b0147	P37025
b2387	P69808
b4612	P58037
b4142	P0A6F9
b3158	P45527
b4545	Q2EET0
b0267	P37007
b2685	P27303
b0438	P0A6H1
b1819	P69805
b1219	P0AB52
b4209	P69506
b2701	P41052
b3468	P0ADI9
b1576	P29010
b3849	P0AFZ7
b1035	P75915
b3607	P0A9D4
b2032	P37751
b3775	P0A9L5
b2385	P76524
b3677	P31446
b1307	P0AFV8
b0343	P02920
b2194	P0ABM9
b2414	P0ABK5
b3964	P0AF40
b1193	P0C960
b2471	P24178
b2634	P52133
b3940	P00562
b2728	P0AAM3
b0528	P0AAS7
b2421	P16703
b3151	P45468
b3738	P0AB98
b2558	P0AGC5
b2902	P52037
b2445	P76545
b2838	P00861
b0998	P36662
b0797	P25888
b2834	P0A9T4
b1082	P33235
b0211	P0AEZ7
b2545	P77360
b2350	P77682
b0166	P0A9D8
b2893	P0AEG6
b0754	P0AB91
b2274	P76485
b0976	P19931
b4392	P0AGC3
b1963	P76334
b1566	P77609
b3359	P18335
b3143	P42914
b2598	P0AD72
b4253	P39336
b0604	P77202
b2813	P0A935
b1773	P77704
b1375	P76073
b0002	P00561
b2198	P0ABM5
b2286	P33599
b3263	P64619
b4074	P32710
b1326	P0ACV6
b1643	P64471
b1138	P75968
b4024	P08660
b0525	P23869
b2284	P31979
b1432	P76102
b2614	P09372
b0301	P75685
b2669	P0ACG1
b1228	P76023
b0548	Q47270
b2472	P0AED7
b2454	P77277
b0431	P0ABI8
b0965	P75874
b0492	P77395
b2184	P33919
b0458	P0AAS0
b0268	P75682
b2478	P0A6L2
b2992	P0AAN1
b2278	P33607
b0288	P0AAL9
b2743	P0A7A5
b2520	P76578
b4689	C1P601
b1352	P38393
b2310	P09551
b3544	P23847
b2281	P0AFD6
b4604	A5A619
b1967	P31658
b1178	P76002
b4504	Q9XB42
b1571	P0ACW8
b2156	P25737
b0220	P0AD59
b1606	P0AFS3
b2285	P0AFD1
b0157	P0AFP0
b2200	P0ABL8
b0303	P75687
b2808	P0A9F6
b0434	P0ADA5
b1569	P06965
b3809	P0A6K1
b0055	P31680
b0116	P0A9P0
b2288	P0AFC3
b4045	P68206
b1226	P0AF26
b4706	U3PVA8
b0529	P24186
b0760	P31060
b4277	P39351
b0031	P04036
b0015	P08622
b2903	P33195
b0430	P0ABJ3
b3638	P25531
b1070	P43533
b3011	Q46856
b2479	P0A9I3
b1055	P24188
b2442	P76542
b3433	P0A9Q9
b1778	P0A746
b3941	P0AEZ1
b2276	P0AFF0
b3087	P42599
b2195	P0AA86
b0624	P37002
b2886	Q46819
b2056	P71238
b0070	P31675
b1926	P0ABY2
b0048	P0ABQ4
b2280	P0AFE0
b2790	P65367
b2150	P0AEE5
b2668	P55734
b1232	P37051
b2510	P76575
b1559	P76161
b3836	P69428
b0882	P0ABH9
b2905	P27248
b2283	P33602
b2267	P0AEH3
b0717	P75749
b0304	P77212
b2551	P0A825
b1935	P76321
b1372	P76072
b0627	P0A843
b2069	P36928
b2315	P08192
b2287	P0AFC7
b4204	P39308
b0140	P33128
b3155	P45472
b0790	P0AAW1
b1752	P76221
b1345	P76056
b3838	P69425
b0028	P0AEM0
b4483	P27859
b2277	P0AFE8
b3216	P45420
b0977	P19932
b3690	P31456
b0398	P0AG76
b1541	P64463
b0563	P77087
b3839	P69423
b3347	P45523
b2011	P04995
b0432	P0ABJ1
b1502	P77588
b0646	P77381
b1652	P30014
b1411	P76093
b0259	P0CE49
b1000	P36659
b2159	P0A6C1
b2279	P0AFE4
b1177	P76001
b4075	P32711
b2509	P04994
b0868	P75821
b4533	Q2EES0
b0053	P0ABZ6
b0397	P13458
b2282	P0AFD4
b0379	P0AAP7
b0178	P0AEU7
b3998	P68739
b0223	Q47147
b1156	P09153
b3823	P0AG38
b0531	P77249
b2945	P25736
b2599	P0A9J8
b4671	C1P5Z8
b2990	P0AAM7
b1749	P09030
b4593	A5A611
b2645	P52141
b0003	P00547
b4235	P0AFK0
b2892	P21893
b2600	P07023
b2749	P46141
b3891	P13024
b0403	P21517
b0311	P17444
b3611	P0AG27
b2628	P52127
b3089	P0AGE4
b2336	P77599
b0312	P17445
b0407	P0ADZ7
b1234	P0AFR0
b0283	P77183
b1733	P37794
b0314	P0ABC9
b3862	P32129
b2361	P76514
b0004	P00934
b2201	P33931
b0547	Q47269
b0408	P0AG90
b0801	P30178
b3349	P0A9K9
b3571	P25718
b4058	P0A698
b2152	P25747
b1554	P76159
b3116	P0AAD8
b1466	P19317
b0708	P00914
b3300	P0AGA2
b2319	P08390
b0014	P0A6Y8
b3417	P00490
b1848	P0ACY9
b3033	P0ADU7
b0241	P02932
b1497	P76134
b2733	P23909
b3175	P0AG99
b2870	Q46803
b0944	P40876
b3531	P37651
b2080	P76402
b2774	P76633
b1153	P75982
b3875	P76773
b2197	P69490
b4043	P0A7C2
b3981	P0AG96
b2434	P76539
b4219	P0A744
b1927	P26612
b1741	P76213
b2102	P76421
b1150	P75979
b0957	P0A910
b4143	P0A6F5
b2068	P04395
b0098	P10408
b4402	P0ADD9
b2592	P63284
b3416	P15977
b2212	P05050
b1869	P64515
b0559	P64435
b1319	P76045
b4207	P0A9L3
b0550	P0AG74
b0409	P0AG93
b3830	P56262
b0939	P75856
b1309	P76041
b1960	P09184
b1726	P76208
b0539	P75717
b0150	P06971
b2524	P0C0L9
b3068	P0A9H1
b3609	P0AG86
b1471	P76123
b2110	P33342
b3898	P32153
b0779	P0A8F8
b1381	P52645
b0256	P0CF88
b0681	P75733
b3705	P25714
b3385	P32662
b1262	P00909
b1167	P75994
b2727	P0AAN3
b2165	P33025
b2961	P17802
b0848	P64439
b4509	Q47272
b2344	P10384
b3800	P25550
b2755	Q46896
b1265	P0AD92
b0362	P75697
b3401	P0A6Y5
b3338	P13656
b4044	P28303
b0217	P77339
b1349	P33228
b1256	P0A915
b0649	P77359
b2411	P15042
b1263	P00904
b4674	C1P600
b0999	P63264
b1808	P76257
b4589	A5A607
b2642	P52138
b0740	P0A855
b4076	P32712
b4170	P23367
b1260	P0A877
b1050	P0AB31
b0436	P0A850
b0714	P50465
b3552	P37665
b2625	P52124
b2215	P06996
b0473	P0A6Z3
b0422	P0A8G9
b1704	P00887
b2172	P33029
b3633	P0AC75
b1350	P15032
b2581	P0AGJ5
b2001	P76361
b1377	P77747
b0915	P27300
b0454	P0AFP2
b1264	P00895
b0704	P28915
b2717	P0AEV9
b1913	P0A8G0
b4030	P0A7C8
b1551	P76157
b0805	P75780
b0824	P75794
b2580	P12295
b1261	P0A879
b3802	P0ACB7
b0981	P38134
b3070	Q46871
b1633	P0AB83
b2977	P0AEQ1
b1365	P76068
b4291	P13036
b1114	P30958
b3502	P0AB93
b2859	Q46795
b0695	P21865
b4367	P39405
b3549	P05100
b2739	Q46891
b1147	P75976
b3720	P26218
b2831	P06722
b0818	P75788
b2390	P64542
b0614	P0A6G5
b3336	P0ABD3
b1844	P0AEK0
b2085	P76406
b0556	P75719
b3035	P02930
b2836	P31119
b3635	P05523
b2019	P60757
b4341	P39390
b1703	P0A8A4
b4511	P18393
b1061	P0ABR1
b1806	P0AA91
b0279	P71296
b0929	P02931
b2729	P24192
b3645	P23840
b2021	P06986
b1685	P64476
b2326	P76938
b1905	P0A998
b2213	P06134
b1458	P76119
b0253	P75678
b1451	P76115
b3414	P63020
b2018	P60995
b1321	P76046
b1902	P0A9A2
b2527	P0A6L9
b1161	P75988
b1140	P75969
b4036	P02943
b0852	P0C0U4
b0812	P0ABT2
b2023	P60595
b0780	P75767
b3869	P0AFB5
b1972	P76343
b0585	P13039
b0324	P77554
b0537	P24218
b1024	P69434
