E_coli_K12_W3110_lambdaRed	E_coli_K12_W3110	W3110-Name	W3110-Accession	MG1655-ID	Blattner	W3110-startbase	W3110-endbase	W3110-strand	MG1655-startbase	MG1655-endbase	MG1655-strand	sort_order
W3110_lambdaRed.CDS.3201	JW3165	kdsC	ECK3187	G7663	b3198	3342128	3342694	+	3342273	3342839	+	3201
W3110_lambdaRed.CDS.3202	JW3166	lptC	ECK3188	G7664	b3199	3342691	3343266	+	3342836	3343411	+	3202
W3110_lambdaRed.CDS.3203	JW3167	lptA	ECK3189	G7665	b3200	3343235	3343792	+	3343380	3343937	+	3203
W3110_lambdaRed.CDS.3204	JW3168	lptB	ECK3190	EG11680	b3201	3343799	3344524	+	3343944	3344669	+	3204
W3110_lambdaRed.CDS.3205	JW3169	rpoN	ECK3191	EG10898	b3202	3344572	3346005	+	3344717	3346150	+	3205
W3110_lambdaRed.CDS.3206	JW3170	hpf	ECK3192	EG11681	b3203	3346028	3346315	+	3346173	3346460	+	3206
W3110_lambdaRed.CDS.3207	JW3171	ptsN	ECK3193	EG11682	b3204	3346433	3346924	+	3346578	3347069	+	3207
W3110_lambdaRed.CDS.3208	JW3172	rapZ	ECK3194	EG12146	b3205	3346970	3347824	+	3347115	3347969	+	3208
W3110_lambdaRed.CDS.3209	JW3173	npr	ECK3195	EG12147	b3206	3347821	3348093	+	3347966	3348238	+	3209
W3110_lambdaRed.CDS.3210	JW3174	yrbL	ECK3196	G7667	b3207	3348307	3348939	+	3348452	3349084	+	3210
W3110_lambdaRed.CDS.3211	JW3175	mtgA	ECK3197	G7668	b3208	3348936	3349664	-	3349081	3349809	-	3211
W3110_lambdaRed.CDS.3212	JW3176	elbB	ECK3198	EG11383	b3209	3349661	3350314	-	3349806	3350459	-	3212
W3110_lambdaRed.CDS.3213	JW5536	arcB	ECK3200	EG10062	b3210	3350544	3352880	-	3350689	3353025	-	3213
W3110_lambdaRed.CDS.3214	JW3178	yhcC	ECK3201	G7669	b3211	3352976	3353905	-	3353121	3354050	-	3214
W3110_lambdaRed.CDS.3215	JW3179	gltB	ECK3202	EG10403	b3212	3354487	3359040	+	3354725	3359185	+	3215
W3110_lambdaRed.CDS.3216	JW3180	gltD	ECK3203	EG12409	b2468	3359053	3360471	+	2583546	2585525	-	3216
W3110_lambdaRed.CDS.3240	JW3205	mdh	ECK3225	EG10576	b3236	3383185	3384123	-	3383330	3384268	-	3240
W3110_lambdaRed.CDS.3241	JW3206	argR	ECK3226	EG10070	b3237	3384558	3385028	+	3384703	3385173	+	3241
W3110_lambdaRed.CDS.3242	JW5540	yhcN	ECK3227	G7683	b3238	3385393	3385656	+	3385538	3385801	+	3242
W3110_lambdaRed.CDS.3243	JW3208	yhcO	ECK3228	G7684	b3239	3385712	3385984	-	3385857	3386129	-	3243
W3110_lambdaRed.CDS.328	JW0322	prpR	ECK0328	G6195	b0330	346081	347667	-	346857	348443	-	328
W3110_lambdaRed.CDS.3280	JW3969	purD	ECK3997	EG10792	b4005	3430750	3432039	+	4204642	4205931	-	3280
W3110_lambdaRed.CDS.3281	JW3968	zraR	ECK3996	EG10482	b4004	3432036	3433361	-	4203320	4204645	+	3281
W3110_lambdaRed.CDS.3282	JW3967	zraS	ECK3995	EG10008	b4003	3433358	3434755	-	4201926	4203323	+	3282
W3110_lambdaRed.CDS.3284	JW5546	zraP	ECK3994	EG11918	b4002	3434993	3435418	+	4201263	4201688	-	3284
W3110_lambdaRed.CDS.3285	JW3965	yjaH	ECK3993	EG11917	b4001	3435420	3436115	-	4200566	4201261	+	3285
W3110_lambdaRed.CDS.3286	JW3964	hupA	ECK3992	EG10466	b4000	3436128	3436400	-	4200281	4200553	+	3286
W3110_lambdaRed.CDS.3287	JW3963	yjaG	ECK3991	EG11916	b3999	3436587	3437177	-	4199504	4200094	+	3287
W3110_lambdaRed.CDS.3288	JW5547	nfi	ECK3990	EG11915	b3998	3437220	3437891	-	4198790	4199461	+	3288
W3110_lambdaRed.CDS.3289	JW3961	hemE	ECK3989	EG11543	b3997	3437901	3438965	-	4197716	4198780	+	3289
W3110_lambdaRed.CDS.329	JW0323	prpB	ECK0329	G6196	b0331	347906	348796	+	348682	349572	+	329
W3110_lambdaRed.CDS.3290	JW5548	nudC	ECK3988	EG11702	b3996	3439005	3439778	-	4196903	4197676	+	3290
W3110_lambdaRed.CDS.3291	JW3959	rsd	ECK3987	EG11738	b3995	3439873	3440349	+	4196332	4196808	-	3291
W3110_lambdaRed.CDS.3292	JW3958	thiC	ECK3986	EG11585	b3994	3440582	3442477	+	4194204	4196099	-	3292
W3110_lambdaRed.CDS.3293	JW3957	thiE	ECK3985	EG11586	b3993	3442477	3443112	+	4193569	4194204	-	3293
W3110_lambdaRed.CDS.3294	JW3956	thiF	ECK3984	EG11587	b3992	3443105	3443860	+	4192821	4193576	-	3294
W3110_lambdaRed.CDS.3295	JW3955	thiS	ECK3983	G1	b4407	3443844	3444044	+	4192637	4192837	-	3295
W3110_lambdaRed.CDS.3296	JW5549	thiG	ECK3982	EG11589	b3991	3444046	3444816	+	4191865	4192635	-	3296
W3110_lambdaRed.CDS.3297	JW3953	thiH	ECK3981	EG11590	b3990	3444813	3445946	+	4190735	4191868	-	3297
W3110_lambdaRed.CDS.3298	JW3952	yjaZ	ECK3980	EG11429	b3989	3446356	3446895	-	4189786	4190325	+	3298
W3110_lambdaRed.CDS.3299	JW3951	rpoC	ECK3979	EG10895	b3988	3447108	3451331	-	4185350	4189573	+	3299
W3110_lambdaRed.CDS.33	JW0036	caiC	ECK0038	EG11558	b0037	36271	37839	-	36271	37824	-	33
W3110_lambdaRed.CDS.330	JW0324	prpC	ECK0330	G6198	b0333	349236	350405	+	350012	351181	+	330
W3110_lambdaRed.CDS.3300	JW3950	rpoB	ECK3978	EG10894	b3987	3451408	3455436	-	4181245	4185273	+	3300
W3110_lambdaRed.CDS.3301	JW3949	rplL	ECK3977	EG10873	b3986	3455756	3456121	-	4180560	4180925	+	3301
W3110_lambdaRed.CDS.3302	JW3948	rplJ	ECK3976	EG10871	b3985	3456188	3456685	-	4179996	4180493	+	3302
W3110_lambdaRed.CDS.3303	JW3947	rplA	ECK3975	EG10864	b3984	3457098	3457802	-	4178879	4179583	+	3303
W3110_lambdaRed.CDS.3304	JW3946	rplK	ECK3974	EG10872	b3983	3457806	3458234	-	4178447	4178875	+	3304
W3110_lambdaRed.CDS.3305	JW3945	nusG	ECK3973	EG10667	b3982	3458393	3458938	-	4177743	4178288	+	3305
W3110_lambdaRed.CDS.3279	JW3970	purH	ECK3998	EG10795	b4006	3429149	3430738	+	4205943	4207532	-	3279
W3110_lambdaRed.CDS.3276	JW3239	yhdZ	ECK3258	EG12837	b3271	3422291	3423049	+	3422436	3423194	+	3276
W3110_lambdaRed.CDS.3275	JW5545	yhdY	ECK3257	EG12836	b3270	3421180	3422283	+	3421325	3422428	+	3275
W3110_lambdaRed.CDS.3259	JW3223	accB	ECK3242	EG10275	b3255	3405291	3405761	+	3405436	3405906	+	3259
W3110_lambdaRed.CDS.3244	JW3209	aaeB	ECK3229	G7685	b3240	3386076	3388043	-	3386221	3388188	-	3244
W3110_lambdaRed.CDS.3245	JW3210	aaeA	ECK3230	G7686	b3241	3388049	3388981	-	3388194	3389126	-	3245
W3110_lambdaRed.CDS.3246	JW5541	aaeX	ECK3231	G7687	b3242	3388989	3389192	-	3389134	3389337	-	3246
W3110_lambdaRed.CDS.3247	JW3212	aaeR	ECK3232	G7688	b3243	3389375	3390304	+	3389520	3390449	+	3247
W3110_lambdaRed.CDS.3248	JW3213	tldD	ECK3233	G7689	b3244	3390438	3391883	-	3390583	3392028	-	3248
W3110_lambdaRed.CDS.325	JW0320	yahN	ECK0326	G6193	b0328	344890	345561	-	345666	346337	-	325
W3110_lambdaRed.CDS.3250	JW3216	rng	ECK3235	EG11299	b3247	3396181	3397650	-	3396326	3397795	-	3250
W3110_lambdaRed.CDS.3251	JW3217	yhdE	ECK3236	EG11298	b3248	3397640	3398233	-	3397785	3398378	-	3251
W3110_lambdaRed.CDS.3252	JW3218	mreD	ECK3237	EG10610	b3249	3398242	3398730	-	3398387	3398875	-	3252
W3110_lambdaRed.CDS.3253	JW3219	mreC	ECK3238	EG10609	b3250	3398730	3399833	-	3398875	3399978	-	3253
W3110_lambdaRed.CDS.3254	JW3220	mreB	ECK3239	EG10608	b3251	3399899	3400942	-	3400044	3401087	-	3254
W3110_lambdaRed.CDS.3255	JW3221	csrD	ECK3240	EG10018	b3252	3401247	3403187	-	3401392	3403332	-	3255
W3110_lambdaRed.CDS.3256	JW3222	yhdH	ECK3241	EG11315	b3253	3403339	3404313	+	3403484	3404458	+	3256
W3110_lambdaRed.CDS.326	JW0321	yahO	ECK0327	G6194	b0329	345708	345983	+	346484	346759	+	326
W3110_lambdaRed.CDS.3274	JW5544	yhdX	ECK3256	EG12835	b3269	3419989	3421170	+	3420134	3421315	+	3274
W3110_lambdaRed.CDS.3260	JW3224	accC	ECK3243	EG10276	b3256	3405772	3407121	+	3405917	3407266	+	3260
W3110_lambdaRed.CDS.3261	JW3225	yhdT	ECK3244	G7693	b3257	3407230	3407472	+	3407375	3407617	+	3261
W3110_lambdaRed.CDS.3262	JW3226	panF	ECK3245	EG10685	b3258	3407462	3408913	+	3407607	3409058	+	3262
W3110_lambdaRed.CDS.3263	JW3227	prmA	ECK3246	EG11497	b3259	3408925	3409806	+	3409070	3409951	+	3263
W3110_lambdaRed.CDS.3264	JW3228	dusB	ECK3247	EG11311	b3260	3410135	3411100	+	3410280	3411245	+	3264
W3110_lambdaRed.CDS.3265	JW3229	fis	ECK3248	EG10317	b3261	3411126	3411422	+	3411271	3411567	+	3265
W3110_lambdaRed.CDS.3266	JW5543	yhdJ	ECK3249	EG11498	b3262	3411508	3412392	+	3411653	3412537	+	3266
W3110_lambdaRed.CDS.3267	JW3231	yhdU	ECK3250	G7694	b3263	3412476	3412655	+	3412621	3412800	+	3267
W3110_lambdaRed.CDS.3268	JW3232	envR	ECK3251	EG11741	b3264	3412658	3413320	-	3412803	3413465	-	3268
W3110_lambdaRed.CDS.3269	JW3233	acrE	ECK3252	EG10266	b3265	3413719	3414876	+	3413864	3415021	+	3269
W3110_lambdaRed.CDS.3270	JW3234	acrF	ECK3253	NIL	NIL	3414888	3417992	+	NIL	NIL	NIL	3270
W3110_lambdaRed.CDS.3271	JW3235	yhdV	ECK3254	G7695	b3267	3418245	3418466	+	3418390	3418611	+	3271
W3110_lambdaRed.CDS.927	JW0906	mukE	ECK0914	EG11252	b0923	976071	976748	+	975622	976326	+	927
W3110_lambdaRed.CDS.3903	JW5693	hofM	ECK3382	G7739	b3395	4117665	4118444	+	3521972	3522751	-	3903
W3110_lambdaRed.CDS.3905	JW3356	hofO	ECK3380	G7737	b3393	4118967	4119407	+	3521009	3521449	-	3905
W3110_lambdaRed.CDS.2954	JW2923	yggM	ECK2951	EG12704	b2956	3097214	3098221	-	3098558	3099565	-	2954
W3110_lambdaRed.CDS.559	JW0548	ybcW	ECK0551	G6314	b0559	579103	579309	+	579880	580086	+	559
W3110_lambdaRed.CDS.561	JW0549	nohB	ECK0552	EG11635	b0560	580057	580602	+	580834	581379	+	561
W3110_lambdaRed.CDS.563	ECK0555	tfaX	NIL	G6317	b0563	582098	582283	+	582875	583060	+	563
W3110_lambdaRed.CDS.564	JW0553	appY	ECK0556	EG10050	b0564	582904	583653	+	583681	584430	+	564
W3110_lambdaRed.CDS.565	JW0554	ompT	ECK0557	EG10673	b0565	583903	584856	-	584680	585633	-	565
W3110_lambdaRed.CDS.566	JW0555	envY	ECK0558	EG10268	b0566	585370	586131	-	586147	586908	-	566
W3110_lambdaRed.CDS.567	JW0556	ybcH	ECK0559	EG12448	b0567	586314	587204	-	587091	587981	-	567
W3110_lambdaRed.CDS.568	JW0557	nfrA	ECK0560	EG11740	b0568	587205	590177	-	587982	590954	-	568
W3110_lambdaRed.CDS.569	JW0558	nfrB	ECK0561	EG11739	b0569	590164	592401	-	590941	593178	-	569
W3110_lambdaRed.CDS.57	JW0060	araD	ECK0062	EG10055	b0061	65855	66550	-	65855	66550	-	57
W3110_lambdaRed.CDS.570	JW5082	cusS	ECK0562	G6318	b0570	592551	593993	-	593328	594770	-	570
W3110_lambdaRed.CDS.571	JW0560	cusR	ECK0563	G6319	b0571	593983	594666	-	594760	595443	-	571
W3110_lambdaRed.CDS.573	JW0561	cusC	ECK0564	G6320	b0572	594823	596196	+	595600	596973	+	573
W3110_lambdaRed.CDS.574	JW0562	cusF	ECK0565	G6321	b0573	596354	596686	+	597131	597463	+	574
W3110_lambdaRed.CDS.575	JW0563	cusB	ECK0566	G6322	b0574	596702	597925	+	597479	598702	+	575
W3110_lambdaRed.CDS.576	JW0564	cusA	ECK0567	EG12367	b0575	597937	601080	+	598714	601857	+	576
W3110_lambdaRed.CDS.577	JW0565	pheP	ECK0568	EG10708	b0576	601182	602558	+	601959	603335	+	577
W3110_lambdaRed.CDS.578	JW0566	ybdG	ECK0569	G6323	b0577	602639	603886	-	603416	604663	-	578
W3110_lambdaRed.CDS.579	JW0567	nfsB	ECK0570	EG50005	b0578	603994	604647	-	604771	605424	-	579
W3110_lambdaRed.CDS.58	JW0061	araA	ECK0063	EG10052	b0062	66835	68337	-	66835	68337	-	58
W3110_lambdaRed.CDS.580	JW5083	ybdF	ECK0571	G6324	b0579	604741	605109	-	605518	605886	-	580
W3110_lambdaRed.CDS.581	JW0569	ybdJ	ECK0572	G6325	b0580	605174	605422	-	605951	606199	-	581
W3110_lambdaRed.CDS.582	JW0570	ybdK	ECK0573	G6326	b0581	605488	606606	-	606265	607383	-	582
W3110_lambdaRed.CDS.583	JW5084	hokE	ECK0574	G0-9582	b4415	607059	607211	+	607836	607988	+	583
W3110_lambdaRed.CDS.584	JW0015	insL-1	ECK0016	G7255	b2394	15445	16557	+	2514331	2515443	+	584
W3110_lambdaRed.CDS.584	JW0572	insL-2	ECK0016	NIL	NIL	607288	608400	+	NIL	NIL	NIL	584
W3110_lambdaRed.CDS.584	JW5390	insL-3	ECK0016	NIL	NIL	2519777	2520889	+	NIL	NIL	NIL	584
W3110_lambdaRed.CDS.585	JW5085	entD	ECK0575	EG10262	b0583	608682	609311	-	609459	610079	-	585
W3110_lambdaRed.CDS.586	JW5086	fepA	ECK0576	EG10293	b0584	609477	611717	-	610254	612494	-	586
W3110_lambdaRed.CDS.588	JW0576	fes	ECK0577	EG10299	b0585	612038	613162	+	612737	613939	+	588
W3110_lambdaRed.CDS.56	JW0059	polB	ECK0061	EG10747	b0060	63429	65780	-	63429	65780	-	56
W3110_lambdaRed.CDS.558	JW5081	ybcV	ECK0550	G6313	b0558	578407	578817	-	579184	579594	-	558
W3110_lambdaRed.CDS.59	JW0062	araB	ECK0064	EG10053	b0063	68348	70048	-	68348	70048	-	59
W3110_lambdaRed.CDS.557	JW0546	borD	ECK0549	G6312	b0557	577823	578116	-	578600	578893	-	557
W3110_lambdaRed.CDS.540	JW5074	insE	ECK0298	NIL	NIL	566056	566364	+	NIL	NIL	NIL	540
W3110_lambdaRed.CDS.540	JW5144	insE	ECK0298	NIL	NIL	1095560	1095868	-	NIL	NIL	NIL	540
W3110_lambdaRed.CDS.540	JW5341	insE	ECK0298	NIL	NIL	2172364	2172672	+	NIL	NIL	NIL	540
W3110_lambdaRed.CDS.541	JW0293	insF	ECK0299	G0-10525	NIL	314811	315677	+	315291	316453	+	541
W3110_lambdaRed.CDS.541	JW0363	insF	ECK0299	NIL	NIL	390963	391829	-	NIL	NIL	NIL	541
W3110_lambdaRed.CDS.541	JW0529	insF	ECK0299	NIL	NIL	566361	567227	+	NIL	NIL	NIL	541
W3110_lambdaRed.CDS.541	JW1012	insF	ECK0299	NIL	NIL	1094697	1095563	-	NIL	NIL	NIL	541
W3110_lambdaRed.CDS.541	JW2073	insF	ECK0299	NIL	NIL	2172669	2173535	+	NIL	NIL	NIL	541
W3110_lambdaRed.CDS.542	JW0531	emrE	ECK0534	EG10629	b0543	567538	567870	+	568315	568647	+	542
W3110_lambdaRed.CDS.544	JW0532	ybcK	ECK0535	G6300	b0544	568125	569651	+	568902	570428	+	544
W3110_lambdaRed.CDS.546	JW0534	ybcM	ECK0537	G6302	b0546	570677	571474	+	571454	572251	+	546
W3110_lambdaRed.CDS.547	JW0535	ybcN	ECK0538	G6303	b0547	571689	572144	+	572466	572921	+	547
W3110_lambdaRed.CDS.548	JW0537	ybcO	ECK0540	G6305	b0549	572307	572597	+	573084	573374	+	548
W3110_lambdaRed.CDS.549	JW0538	rusA	ECK0541	G6306	b0550	572594	572956	+	573371	573733	+	549
W3110_lambdaRed.CDS.550	JW5076	ylcG	ECK0542	G0-10435	b4509	572953	573093	+	573730	573870	+	550
W3110_lambdaRed.CDS.551	JW0539	ybcQ	ECK0543	G6307	b0551	573179	573562	+	573956	574339	+	551
W3110_lambdaRed.CDS.552	JW0250	insH-1	ECK0261	NIL	NIL	273325	274341	-	NIL	NIL	NIL	552
W3110_lambdaRed.CDS.552	JW0540	insH-2	ECK0261	G7074	b1994	573960	574976	-	2066305	2067321	-	552
W3110_lambdaRed.CDS.552	JW0652	insH-3	ECK0261	NIL	NIL	688419	689435	-	NIL	NIL	NIL	552
W3110_lambdaRed.CDS.552	JW1324	insH-4	ECK0261	NIL	NIL	1397790	1398806	+	NIL	NIL	NIL	552
W3110_lambdaRed.CDS.552	JW1882	insH	ECK0261	NIL	NIL	1980355	1981371	-	NIL	NIL	NIL	552
W3110_lambdaRed.CDS.552	JW2014	insH-7	ECK0261	NIL	NIL	2104032	2105048	-	NIL	NIL	NIL	552
W3110_lambdaRed.CDS.552	JW2179	insH-8	ECK0261	NIL	NIL	2292399	2293415	-	NIL	NIL	NIL	552
W3110_lambdaRed.CDS.552	JW2949	insH-9	ECK0261	NIL	NIL	3128834	3129850	+	NIL	NIL	NIL	552
W3110_lambdaRed.CDS.552	JW3185	insH-10	ECK0261	NIL	NIL	3365557	3366573	-	NIL	NIL	NIL	552
W3110_lambdaRed.CDS.552	JW3472	insH-11	ECK0261	NIL	NIL	3987217	3988233	+	NIL	NIL	NIL	552
W3110_lambdaRed.CDS.554	JW0543	essD	ECK0545	G6309	b0554	576621	576836	+	577398	577613	+	554
W3110_lambdaRed.CDS.555	JW0544	rrrD	ECK0546	G6310	b0555	576836	577333	+	577613	578110	+	555
W3110_lambdaRed.CDS.556	JW5079	rzpD	ECK0547	G6311	b0556	577330	577791	+	578107	578568	+	556
W3110_lambdaRed.CDS.589	JW0577	ybdZ	ECK0578	G0-10437	b4511	613165	613383	+	613942	614160	+	589
W3110_lambdaRed.CDS.590	JW0578	entF	ECK0579	EG10264	b0586	613380	617261	+	614157	618038	+	590
W3110_lambdaRed.CDS.4410	JW5873	prfC	ECK4366	EG12114	b4375	4614094	4615683	+	4609414	4611003	+	4410
W3110_lambdaRed.CDS.622	JW5087	citF	ECK0608	G6341	b0615	647262	648794	-	648039	649571	-	622
W3110_lambdaRed.CDS.624	JW0609	citD	ECK0610	G6343	b0617	649710	650006	-	650487	650783	-	624
W3110_lambdaRed.CDS.625	JW0610	citC	ECK0611	G6344	b0618	650021	651079	-	650798	651856	-	625
W3110_lambdaRed.CDS.626	JW0611	dpiB	ECK0612	G6345	b0619	651458	653116	+	652235	653893	+	626
W3110_lambdaRed.CDS.627	JW0612	dpiA	ECK0613	G6346	b0620	653085	653765	+	653862	654542	+	627
W3110_lambdaRed.CDS.628	JW0613	dcuC	ECK0614	NIL	NIL	653806	654282	-	NIL	NIL	NIL	628
W3110_lambdaRed.CDS.629	JW0250	insH-1	ECK0261	NIL	NIL	273325	274341	-	NIL	NIL	NIL	629
W3110_lambdaRed.CDS.629	JW0540	insH-2	ECK0261	G7074	b1994	573960	574976	-	2066305	2067321	-	629
W3110_lambdaRed.CDS.629	JW0652	insH-3	ECK0261	NIL	NIL	688419	689435	-	NIL	NIL	NIL	629
W3110_lambdaRed.CDS.629	JW1324	insH-4	ECK0261	NIL	NIL	1397790	1398806	+	NIL	NIL	NIL	629
W3110_lambdaRed.CDS.629	JW1882	insH	ECK0261	NIL	NIL	1980355	1981371	-	NIL	NIL	NIL	629
W3110_lambdaRed.CDS.629	JW2014	insH-7	ECK0261	NIL	NIL	2104032	2105048	-	NIL	NIL	NIL	629
W3110_lambdaRed.CDS.629	JW2179	insH-8	ECK0261	NIL	NIL	2292399	2293415	-	NIL	NIL	NIL	629
W3110_lambdaRed.CDS.629	JW2949	insH-9	ECK0261	NIL	NIL	3128834	3129850	+	NIL	NIL	NIL	629
W3110_lambdaRed.CDS.629	JW3185	insH-10	ECK0261	NIL	NIL	3365557	3366573	-	NIL	NIL	NIL	629
W3110_lambdaRed.CDS.629	JW3472	insH-11	ECK0261	NIL	NIL	3987217	3988233	+	NIL	NIL	NIL	629
W3110_lambdaRed.CDS.63	JW0066	thiP	ECK0068	EG11573	b0067	72911	74521	-	72911	74521	-	63
W3110_lambdaRed.CDS.630	JW0616	dcuC	ECK0614	G6347	b0621	655299	656390	-	654583	655968	-	630
W3110_lambdaRed.CDS.632	JW0617	pagP	ECK0615	EG12180	b0622	656979	657539	+	656557	657117	+	632
W3110_lambdaRed.CDS.633	JW0618	cspE	ECK0616	EG12179	b0623	657714	657923	+	657292	657501	+	633
W3110_lambdaRed.CDS.634	JW0619	crcB	ECK0617	EG12209	b0624	657977	658360	-	657555	657938	-	634
W3110_lambdaRed.CDS.635	JW0620	ybeM_1	ECK0618	NIL	NIL	658453	658680	+	NIL	NIL	NIL	635
W3110_lambdaRed.CDS.636	JW0621	ybeM_2	ECK0619	NIL	NIL	658677	659240	+	NIL	NIL	NIL	636
W3110_lambdaRed.CDS.637	JW0622	tatE	ECK0620	EG11305	b0627	659369	659572	+	658947	659150	+	637
W3110_lambdaRed.CDS.638	JW0623	lipA	ECK0621	EG11306	b0628	659673	660638	-	659251	660216	-	638
W3110_lambdaRed.CDS.639	JW0624	ybeF	ECK0622	EG11594	b0629	660847	661800	-	660425	661378	-	639
W3110_lambdaRed.CDS.64	JW0067	tbpA	ECK0069	EG11574	b0068	74497	75480	-	74497	75480	-	64
W3110_lambdaRed.CDS.640	JW5089	lipB	ECK0623	EG11591	b0630	662059	662700	-	661637	662278	-	640
W3110_lambdaRed.CDS.641	JW0626	ybeD	ECK0624	EG11592	b0631	662801	663064	-	662379	662642	-	641
W3110_lambdaRed.CDS.642	JW0627	dacA	ECK0625	EG10201	b0632	663174	664385	-	662752	663963	-	642
W3110_lambdaRed.CDS.623	JW0608	citE	ECK0609	G6342	b0616	648805	649713	-	649582	650490	-	623
W3110_lambdaRed.CDS.621	JW0606	citX	ECK0607	G6340	b0614	646707	647258	-	647484	648035	-	621
W3110_lambdaRed.CDS.592	JW0579	fepE	ECK0580	EG10297	b0587	617477	618610	+	618254	619387	+	592
W3110_lambdaRed.CDS.620	JW0605	citG	ECK0606	G6339	b0613	645854	646732	-	646631	647509	-	620
W3110_lambdaRed.CDS.593	JW0580	fepC	ECK0581	EG10295	b0588	618607	619422	-	619384	620199	-	593
W3110_lambdaRed.CDS.594	JW0581	fepG	ECK0582	EG10298	b0589	619419	620411	-	620196	621188	-	594
W3110_lambdaRed.CDS.595	JW0582	fepD	ECK0583	EG10296	b0590	620408	621412	-	621185	622189	-	595
W3110_lambdaRed.CDS.596	JW0583	entS	ECK0584	EG11104	b0591	621523	622773	+	622300	623550	+	596
W3110_lambdaRed.CDS.597	JW0584	fepB	ECK0585	EG10294	b0592	622777	623733	-	623554	624510	-	597
W3110_lambdaRed.CDS.598	JW0585	entC	ECK0586	EG10261	b0593	624108	625283	+	624885	626060	+	598
W3110_lambdaRed.CDS.599	JW0586	entE	ECK0587	EG10263	b0594	625293	626903	+	626070	627680	+	599
W3110_lambdaRed.CDS.6	JW0006	yaaJ	ECK0007	EG11555	b0007	6529	7959	-	6529	7959	-	6
W3110_lambdaRed.CDS.60	JW0063	araC	ECK0065	EG10054	b0064	70387	71265	+	70387	71265	+	60
W3110_lambdaRed.CDS.600	JW0587	entB	ECK0588	EG10260	b0595	626917	627774	+	627694	628551	+	600
W3110_lambdaRed.CDS.601	JW0588	entA	ECK0589	EG10259	b0596	627774	628520	+	628551	629297	+	601
W3110_lambdaRed.CDS.602	JW0589	entH	ECK0590	EG11105	b0597	628523	628936	+	629300	629713	+	602
W3110_lambdaRed.CDS.603	JW0590	cstA	ECK0591	G7942	b4354	629117	631222	+	4589129	4591279	-	603
W3110_lambdaRed.CDS.604	JW0591	ybdD	ECK0592	G0-10438	b4512	631405	631602	+	632182	632379	+	604
W3110_lambdaRed.CDS.605	JW0592	ybdH	ECK0593	EG12692	b0599	631612	632700	-	632389	633477	-	605
W3110_lambdaRed.CDS.606	JW0593	ybdL	ECK0594	G6329	b0600	632809	633969	+	633586	634746	+	606
W3110_lambdaRed.CDS.607	JW0594	ybdM	ECK0595	G6330	b0601	633970	634599	-	634747	635376	-	607
W3110_lambdaRed.CDS.608	JW0595	ybdN	ECK0596	G6331	b0602	634572	635792	-	635349	636569	-	608
W3110_lambdaRed.CDS.609	JW0596	ybdO	ECK0597	G6332	b0603	635939	636841	-	636716	637618	-	609
W3110_lambdaRed.CDS.61	JW5005	yabI	ECK0066	EG11571	b0065	71351	72115	+	71351	72115	+	61
W3110_lambdaRed.CDS.610	JW0597	dsbG	ECK0598	G6333	b0604	637050	637796	-	637827	638573	-	610
W3110_lambdaRed.CDS.611	JW0598	ahpC	ECK0599	EG11384	b0605	638168	638731	+	638945	639508	+	611
W3110_lambdaRed.CDS.613	JW0599	ahpF	ECK0600	EG11385	b0606	638976	640541	+	639753	641318	+	613
W3110_lambdaRed.CDS.614	JW0600	uspG	ECK0601	G6334	b0607	640662	641090	-	641439	641867	-	614
W3110_lambdaRed.CDS.615	JW0601	ybdR	ECK0602	G6335	b0608	641311	642549	+	642088	643326	+	615
W3110_lambdaRed.CDS.617	JW0602	rnk	ECK0603	G6337	b0610	642780	643190	-	643557	643967	-	617
W3110_lambdaRed.CDS.618	JW0603	rna	ECK0604	EG10856	b0611	643420	644226	-	644197	645003	-	618
W3110_lambdaRed.CDS.897	JW5118	dmsA	ECK0885	G6846	b1588	941381	943825	+	1660556	1662979	+	897
W3110_lambdaRed.CDS.62	JW0065	thiQ	ECK0067	EG11572	b0066	72229	72927	-	72229	72927	-	62
W3110_lambdaRed.CDS.540	JW5050	insE	ECK0298	NIL	NIL	391826	392134	-	NIL	NIL	NIL	540
W3110_lambdaRed.CDS.540	JW5036	insE-1	ECK0298	G6168	b0298	314506	314814	+	315291	315590	+	540
W3110_lambdaRed.CDS.54	JW0057	rluA	ECK0059	EG12609	b0058	59687	60346	-	59687	60346	-	54
W3110_lambdaRed.CDS.446	JW0436	cof	ECK0440	G6246	b0446	466636	467454	+	467412	468230	+	446
W3110_lambdaRed.CDS.448	JW0438	mdlA	ECK0442	G6248	b0448	468095	469867	+	468871	470643	+	448
W3110_lambdaRed.CDS.449	JW5061	mdlB	ECK0443	EG11622	b0449	469860	471641	+	470636	472417	+	449
W3110_lambdaRed.CDS.45	JW0048	apaH	ECK0050	EG10048	b0049	50380	51222	-	50380	51222	-	45
W3110_lambdaRed.CDS.451	JW0440	glnK	ECK0444	EG12191	b0450	471822	472160	+	472598	472936	+	451
W3110_lambdaRed.CDS.452	JW0441	amtB	ECK0445	EG11821	b0451	472190	473476	+	472966	474252	+	452
W3110_lambdaRed.CDS.453	JW0442	tesB	ECK0446	EG10995	b0452	473525	474385	-	474301	475161	-	453
W3110_lambdaRed.CDS.454	JW0443	ybaY	ECK0447	G6250	b0453	474603	475175	+	475379	475951	+	454
W3110_lambdaRed.CDS.455	JW0444	atl	ECK0448	G6251	b0454	475206	475595	-	475982	476371	-	455
