RefSeq	gene	locus	start	stop	strand	COG	COG_category	COG_meta
BAA36066.1	ispE	b1208	1263602	1264454	-1	COG1947	I	M
BAA36067.1	lolB	b1209	1264453	1265077	-1	COG3017	M	O
BAA36068.1	hemA	b1210	1265290	1266547	1	COG0373	H	M
BAA36069.1	prfA	b1211	1266588	1267671	1	COG0216	J	T
BAA36070.1	prmC	b1212	1267670	1268504	1	COG2890	J	T
BAA36071.1	ychQ	b1213	1268500	1268893	1	COG3094	S	O
BAA36072.1	ychA	b1214	1268896	1269706	1	COG2912	T	O
BAA36073.1	kdsA	b1215	1269741	1270596	1	COG2877	M	O
BAE76392.1	ldrA	b4419	1270744	1270852	-1			
BAE76393.1	ldrB	b4421	1271279	1271387	-1			
BAE76394.1	ldrC	b4423	1271814	1271922	-1			
BAA36074.1	chaA	b1216	1272325	1273426	-1	COG0387	P	M
BAA36075.1	chaB	b1217	1273695	1273926	1	COG4572	P	M
BAA36076.1	chaC	b1218	1274062	1274779	1	COG3703	P	M
BAA36087.1	ychN	b1219	1274822	1275176	-1	COG1553	P	M
BAA36088.1	ychP	b1220	1275501	1276755	1			
BAA36089.1	narL	b1221	1276755	1277406	-1	COG2197	T	O
BAA36090.1	narX	b1222	1277398	1279195	-1	COG3850	T	O
BAA36091.1	narK	b1223	1279533	1280925	1	COG2223	P	M
BAA36094.1	narG	b1224	1281440	1285184	1	COG5013	C	M
BAA36095.1	narH	b1225	1285180	1286719	1	COG1140	C	M
BAA36096.1	narJ	b1226	1286715	1287426	1	COG2180	C	M
BAA36097.1	narI	b1227	1287425	1288103	1	COG2181	C	M
BAA36098.2	ychS	b1228	1288285	1288561	1			
BAA36099.1	tpr	b1229	1288663	1288765	-1			
BAA36100.1	purU	b1232	1289358	1290201	-1	COG0788	F	M
BAA36101.1	ychJ	b1233	1290250	1290709	-1	COG3012	S	O
BAA36102.1	rssA	b1234	1290782	1291727	1	COG1752	R	O
BAA36103.1	rssB	b1235	1291818	1292832	1	COG0745	T	O
BAA36104.1	galU	b1236	1293033	1293942	1	COG1210	M	O
BAA36117.1	hns	b1237	1294085	1294499	-1	COG2916	K	T
BAA36118.1	tdk	b1238	1295103	1295721	1	COG1435	F	M
BAA36121.1	adhE	b1241	1297022	1299698	-1	COG1012	C	M
BAA36121.1	adhE	b1241	1297022	1299698	-1	COG1454	C	M
BAA36122.2	ychE	b1242	1300174	1300822	1	COG2095	E	M
BAA16036.2	insC	unique to W3110	1301129	1301495	1			
BAA22515.1	insD	unique to W3110	1301434	1302358	1			
BAA14775.2	oppA	b1243	1302895	1304527	1	COG4166	E	M
BAA14776.2	oppB	b1244	1304612	1305533	1	COG0601	E	M
BAA14777.1	oppC	b1245	1305547	1306456	1	COG1173	E	M
BAA14778.1	oppD	b1246	1306467	1307481	1	COG0444	E	M
BAA14779.1	oppF	b1247	1307477	1308482	1	COG4608	E	M
BAA14780.1	yciU	b1248	1308534	1308864	-1	COG3099	S	O
BAA14781.1	cls	b1249	1308898	1310359	-1	COG1502	I	M
BAA14782.1	kch	b1250	1310729	1311983	-1	COG1226	P	M
BAA14783.1	yciI	b1251	1312282	1312579	-1	COG2350	R	O
BAA14784.2	tonB	b1252	1312802	1313522	1	COG0810	M	O
BAA14785.1	yciA	b1253	1313561	1313960	-1	COG1607	I	M
BAA14786.1	yciB	b1254	1314064	1314604	-1	COG2917	D	T
BAA14787.1	yciC	b1255	1314633	1315377	-1			
BAA14788.1	ompW	b1256	1315733	1316372	1	COG3047	M	O
BAA14789.1	yciE	b1257	1316431	1316938	-1	COG3685	P	M
BAA14790.1	yciF	b1258	1316983	1317484	-1	COG3685	P	M
BAA14791.2	yciG	b1259	1317569	1317749	-1	COG3729	R	O
BAA14792.1	trpA	b1260	1318129	1318936	-1	COG0159	E	M
BAA14793.2	trpB	b1261	1318935	1320129	-1	COG0133	E	M
BAA14794.1	trpC	b1262	1320140	1321499	-1	COG0134	E	M
BAA14794.1	trpC	b1262	1320140	1321499	-1	COG0135	E	M
BAA14798.1	trpD	b1263	1321502	1323098	-1	COG0512	E	M
BAA14798.1	trpD	b1263	1321502	1323098	-1	COG0547	E	M
BAA14799.1	trpE	b1264	1323097	1324660	-1	COG0147	E	M
BAE76395.1	trpL	b1265	1324751	1324796	-1			
BAA14800.1	yciV	b1266	1324933	1325815	1	COG0613	R	O
BAA14801.2	yciO	b1267	1325811	1326432	1	COG0009	J	T
BAA14803.2	yciQ	b1268	1326459	1328355	1			
BAA14806.1	rluB	b1269	1328565	1329441	1	COG1187	J	T
BAA14807.1	btuR	b1270	1329480	1330071	-1	COG2109	H	M
BAA14808.1	yciK	b1271	1330067	1330826	-1	COG1028	I	M
BAA14809.1	sohB	b1272	1331045	1332095	1	COG0616	O	O
BAA14810.1	yciN	b1273	1332130	1332382	-1			
BAA14811.1	topA	b1274	1332761	1335359	1	COG0550	L	T
BAA14811.1	topA	b1274	1332761	1335359	1	COG0551	L	T
BAA14827.1	cysB	b1275	1335568	1336543	1	COG0583	K	T
BAA14828.1	acnA	b1276	1337544	1340220	1	COG1048	C	M
BAA14831.1	ribA	b1277	1340283	1340874	-1	COG0807	H	M
BAA14832.1	pgpB	b1278	1341043	1341808	1	COG0671	I	M
BAA14833.1	yciS	b1279	1341956	1342265	1	COG3771	S	O
BAA14834.1	yciM	b1280	1342271	1343441	1	COG2956	M	O
BAA14835.1	pyrF	b1281	1343634	1344372	1	COG0284	F	M
BAA14836.1	yciH	b1282	1344371	1344698	1	COG0023	J	T
BAA14837.1	osmB	b1283	1344823	1345042	-1			
BAA14838.2	yciT	b1284	1345310	1346060	-1	COG1349	K	T
BAA14839.1	gmr	b1285	1346470	1348456	-1	COG5001	T	O
BAA14840.1	rnb	b1286	1348691	1350626	-1	COG4776	K	T
BAE76396.1	yciW	b1287	1350693	1351821	-1	COG2128	P	M
BAE76396.1	yciW	b1287	1350693	1351821	-1	COG4950	S	O
BAA14841.2	fabI	b1288	1351964	1352753	-1	COG0623	I	M
BAA14842.1	ycjD	b1289	1353120	1353474	-1	COG2852	L	T
BAA14843.1	sapF	b1290	1353541	1354348	-1	COG4167	V	O
BAA14844.1	sapD	b1291	1354349	1355342	-1	COG4170	V	O
BAA14845.1	sapC	b1292	1355341	1356232	-1	COG4171	V	O
BAA14854.1	sapB	b1293	1356218	1357184	-1	COG4168	V	O
BAA14855.2	sapA	b1294	1357180	1358824	-1	COG4166	E	M
BAE76397.1	ymjA	b1295	1359136	1359382	-1			
BAA14856.2	puuP	b1296	1359515	1360901	-1	COG0531	E	M
BAA14857.2	puuA	b1297	1361203	1362622	-1	COG0174	E	M
BAA14858.1	puuD	b1298	1362833	1363598	1	COG2071	E	M
BAA14868.1	puuR	b1299	1363624	1364182	1	COG1396	K	T
BAA14868.1	puuR	b1299	1363624	1364182	1	COG1917	R	O
BAA14869.1	puuC	b1300	1364456	1365944	1	COG1012	C	M
BAA14870.1	puuB	b1301	1365945	1367226	1	COG0665	E	M
BAA14871.1	puuE	b1302	1367263	1368529	1	COG0160	E	M
BAA14872.1	pspF	b1303	1368648	1369626	-1	COG1221	K	T
BAA14872.1	pspF	b1303	1368648	1369626	-1	COG2901	K	T
BAA14873.1	pspA	b1304	1369792	1370461	1	COG1842	K	T
BAA14874.1	pspB	b1305	1370514	1370739	1			
BAA14875.1	pspC	b1306	1370738	1371098	1	COG1983	K	T
BAA14876.1	pspD	b1307	1371106	1371328	1			
BAA14877.1	pspE	b1308	1371402	1371717	1	COG0607	P	M
BAA14886.1	ycjM	b1309	1371929	1373609	1	COG0366	G	M
BAE76398.1	ycjN	b1310	1373622	1374915	1	COG1653	G	M
BAA14887.1	ycjO	b1311	1374935	1375817	1	COG1175	G	M
BAA14888.1	ycjP	b1312	1375803	1376646	1	COG0395	G	M
BAA14889.2	ycjQ	b1313	1376676	1377729	1	COG1063	E	M
BAE76399.1	ycjR	b1314	1377747	1378536	1	COG1082	G	M
BAA14890.1	ycjS	b1315	1378545	1379601	1	COG0673	R	O
BAA14891.1	ycjT	b1316	1379597	1381865	1	COG1554	G	M
BAA14892.1	ycjU	b1317	1381861	1382521	1	COG0637	G	M
BAA14893.1	ycjV	b1318	1382534	1383503	1			
BAE76400.1	ymjB	b4524	1383502	1383616	1			
BAE76401.1	ompG	b1319	1383660	1384566	1			
BAA14901.1	ycjW	b1320	1384676	1385675	-1	COG1609	K	T
BAA14902.2	ycjX	b1321	1385830	1387228	1	COG3106	R	O
BAA14903.1	ycjF	b1322	1387224	1388286	1	COG3768	S	O
BAA14905.1	tyrR	b1323	1388433	1389975	1	COG3283	K	T
BAA14906.2	tpx	b1324	1390018	1390525	-1	COG2077	O	O
BAA14907.1	ycjG	b1325	1390643	1391609	1	COG4948	M	O
BAA14908.1	mpaA	b1326	1391583	1392372	-1	COG2866	M	O
BAE76402.1	ymjC	b4525	1392393	1392576	-1			
BAA14909.2	ycjY	b1327	1392646	1393579	-1	COG1073	T	O
BAA14921.1	ycjZ	b1328	1393704	1394604	1	COG0583	K	T
BAA14922.2	mppA	b1329	1394940	1396554	1	COG4166	E	M
BAA14923.1	ynaI	b1330	1396604	1397636	-1	COG0668	M	O
BAA14924.1	insH	b1331	1397789	1398806	1	COG3039	X	
BAE76403.1	ynaJ	b1332	1399078	1399336	1			
BAA14926.1	uspE	b1333	1399385	1400336	-1	COG0589	T	O
BAA14927.1	fnr	b1334	1400487	1401240	-1	COG0664	T	O
BAA14928.1	ogt	b1335	1401434	1401950	-1	COG0350	L	T
BAA14929.2	abgT	b1336	1401960	1403487	-1	COG2978	H	M
BAE76404.1	abgB	b1337	1403523	1404969	-1	COG1473	R	O
BAA14940.2	abgA	b1338	1404968	1406279	-1	COG1473	R	O
BAA14941.1	abgR	b1339	1406454	1407363	1	COG0583	K	T
BAE76405.1	ydaL	b1340	1407692	1408256	1	COG2840	L	T
BAA14945.2	ydaM	b1341	1408276	1409509	-1	COG3706	T	O
BAE76406.1	ydaN	b1342	1409763	1410747	1	COG0598	P	M
BAA14946.1	dbpA	b1343	1411224	1412598	1	COG0513	L	T
BAE76407.1	ydaO	b1344	1412726	1413662	-1	COG0037	J	T
BAE76408.1	intR	b1345	1413713	1414949	-1	COG0582	L	T
BAE76409.1	ydaQ	b1346	1414950	1415166	-1			
BAA14947.1	ydaC	b1347	1415244	1415454	-1			
BAA14948.1	lar	b1348	1415446	1415641	-1			
BAA14949.1	recT	b1349	1415697	1416507	-1	COG3723	L	T
BAA14950.2	recE	b1350	1416499	1419100	-1			
BAA14953.1	racC	b1351	1419201	1419477	-1			
BAA14954.1	ydaE	b4526	1419551	1419722	-1			
BAA14955.1	kil	b1352	1419721	1419943	-1			
BAA14956.1	sieB	b1353	1420384	1420873	1			
BAA14957.1	ydaF	b4527	1420869	1421025	-1			
BAE76410.1	ydaG	b1355	1421035	1421170	-1			
BAE76411.1	racR	b1356	1421478	1421955	-1			
BAE76412.1	ydaS	b1357	1422078	1422375	1	COG4197	K	T
BAE76413.1	ydaT	b1358	1422397	1422820	1			
BAE76414.1	ydaU	b1359	1422832	1423690	1	COG3756	S	O
BAA14958.1	ydaV	b1360	1423696	1424443	1	COG1484	L	T
BAE76415.1	ydaW	b1361	1424465	1425026	1			
BAA14959.2	rzpR	b1362	1425058	1425358	1			
BAE76416.1	rzoR	b4528	1425113	1425299	1			
BAA14960.1	trkG	b1363	1425495	1426953	1	COG0168	P	M
BAE76417.1	ynaK	b1365	1427090	1427354	1	COG1475	D	T
BAE76418.1	ydaY	b1366	1427334	1427694	1			
BAA14961.1	ynaA	b1368	1428167	1429196	1			
BAA14963.2	insH	b1370	1429459	1430440	-1			
BAA14966.1	stfR	b1372	1430762	1434125	1			
BAA14978.1	tfaR	b1373	1434124	1434700	1			
BAA14979.1	pinR	b1374	1434797	1435388	-1	COG1961	L	T
BAE76419.1	ynaE	b1375	1435704	1435971	-1			
BAA14980.1	uspF	b1376	1436898	1437333	-1	COG0589	T	O
BAA14981.1	ompN	b1377	1437473	1438607	-1	COG3203	M	O
BAA14982.1	ydbK	b1378	1438973	1442498	-1	COG0674	C	M
BAA14982.1	ydbK	b1378	1438973	1442498	-1	COG1013	C	M
BAA14982.1	ydbK	b1378	1438973	1442498	-1	COG1014	C	M
BAA14982.1	ydbK	b1378	1438973	1442498	-1	COG1143	C	M
BAA14983.2	ydbJ	b4529	1442771	1443038	1	COG3042	R	O
BAA14984.1	hslJ	b1379	1443034	1443457	-1	COG3187	O	O
BAA14990.1	ldhA	b1380	1443567	1444557	-1	COG1052	C	M
BAA14991.1	ydbH	b1381	1444764	1447404	1			
BAE76420.1	ynbE	b1382	1447400	1447586	1			
BAE76421.1	ydbL	b1383	1447593	1447920	1	COG3784	S	O
BAE76422.1	feaR	b1384	1448091	1448997	-1	COG2207	K	T
BAA14992.2	feaB	b1385	1449232	1450732	1	COG1012	C	M
BAA14996.1	tynA	b1386	1450789	1453063	-1	COG3733	Q	M
BAA14997.1	maoC	b1387	1453310	1455356	-1	COG1012	C	M
BAA14997.1	maoC	b1387	1453310	1455356	-1	COG2030	I	M
BAE76423.1	paaA	b1388	1455640	1456570	1	COG3396	Q	M
BAE76424.1	paaB	b1389	1456581	1456869	1	COG3460	Q	M
BAE76425.1	paaC	b1390	1456877	1457624	1	COG3396	Q	M
BAE76426.1	paaD	b1391	1457638	1458136	1	COG2151	O	O
BAE76426.1	paaD	b1391	1457638	1458136	1	COG3677	X	
BAA14998.2	paaE	b1392	1458143	1459214	1	COG1018	C	M
BAA14999.2	paaF	b1393	1459210	1459978	1	COG1024	I	M
BAA15000.1	paaG	b1394	1459977	1460766	1	COG1024	I	M
BAA15001.2	paaH	b1395	1460767	1462195	1	COG1250	I	M
BAE76427.1	paaI	b1396	1462184	1462607	1	COG2050	Q	M
BAA15002.1	paaJ	b1397	1462606	1463812	1	COG0183	I	M
BAE76428.1	paaK	b1398	1463838	1465152	1	COG1541	H	M
BAE76429.1	paaX	b1399	1465252	1466203	1	COG3327	K	T
BAA15008.1	paaY	b1400	1466184	1466775	1	COG0663	R	O
BAA15010.1	insD	b1402	1469634	1470540	-1	COG2801	X	
BAA15013.1	insC	b1403	1470497	1470908	-1	COG2963	X	
BAA15014.1	insI	b1404	1471071	1472223	1	COG2826	X	
BAA15021.1	ydbC	b1406	1475934	1476795	1	COG0667	R	O
BAA15022.2	ydbD	b1407	1476857	1479164	1			
BAE76430.1	ynbA	b1408	1479334	1479940	1	COG0558	I	M
BAA15023.2	ynbB	b1409	1479939	1480836	1	COG4589	R	O
BAE76431.1	ynbC	b1410	1480851	1482609	1	COG2267	I	M
BAE76432.1	ynbD	b1411	1482622	1483915	1	COG0671	I	M
BAE76432.1	ynbD	b1411	1482622	1483915	1	COG2453	T	O
BAA15024.1	azoR	b1412	1483968	1484574	-1	COG1182	C	M
BAA15029.1	hrpA	b1413	1484831	1488677	1	COG1643	J	T
BAA15030.1	ydcF	b1414	1488948	1489749	1	COG1434	R	O
BAA15032.1	aldA	b1415	1489945	1491385	1	COG1012	C	M
BAA15039.2	cybB	b1418	1492615	1493146	1	COG3038	C	M
BAA15040.1	ydcA	b1419	1493390	1493564	1			
BAA15042.2	hokB	b4428	1493635	1493785	-1			
BAE76433.1	mokB	b1420	1493675	1493843	-1			
BAA15044.1	trg	b1421	1494183	1495824	1	COG0840	N	O
BAA15044.1	trg	b1421	1494183	1495824	1	COG5000	T	O
BAA15045.2	ydcI	b1422	1495861	1496785	-1	COG0583	K	T
BAE76434.1	ydcJ	b1423	1497001	1498345	1	COG5383	R	O
BAA15046.1	mdoD	b1424	1498599	1500225	1	COG3131	M	O
BAA15047.2	ydcH	b1426	1500364	1500589	1	COG2841	S	O
BAA15048.1	rimL	b1427	1500651	1501191	1	COG1670	J	T
BAE76435.1	ydcK	b1428	1501182	1502163	-1	COG0663	R	O
BAA15058.1	tehA	b1429	1502286	1503279	1	COG1275	V	O
BAA15059.1	tehB	b1430	1503275	1503869	1	COG0500	Q	M
BAE76436.1	ydcL	b1431	1504170	1504839	1			
BAA15060.2	ydcM	b1432	1505370	1506579	1	COG0675	X	
BAA15061.2	ydcO	b1433	1506618	1507794	-1	COG3135	Q	M
BAA15062.1	ydcN	b1434	1507885	1508422	1	COG1396	K	T
BAA15062.1	ydcN	b1434	1507885	1508422	1	COG1917	R	O
BAA15068.1	ydcP	b1435	1508494	1510456	1	COG0826	O	O
BAE76437.1	yncJ	b1436	1510547	1510778	-1			
BAE76438.1	yncN	b4532	1510999	1511176	1			
BAE76439.1	ydcQ	b1438	1511200	1511638	1	COG1598	V	O
BAA15069.1	ydcR	b1439	1511716	1513123	1	COG1167	K	T
BAE76440.1	ydcS	b1440	1513367	1514513	1	COG0687	E	M
BAA15070.1	ydcT	b1441	1514530	1515544	1	COG3842	E	M
BAA15071.1	ydcU	b1442	1515544	1516486	1	COG1176	E	M
BAA15072.1	ydcV	b1443	1516475	1517270	1	COG1177	E	M
BAA15073.1	ydcW	b1444	1517291	1518716	1	COG1012	C	M
BAE76441.1	ydcX	b1445	1519102	1519276	1			
BAE76442.1	ydcY	b1446	1519361	1519595	1			
BAE76443.1	ydcZ	b1447	1519595	1520045	-1	COG3238	S	O
BAA15080.2	yncA	b1448	1520041	1520560	-1	COG1247	E	M
BAA15081.2	yncB	b1449	1520740	1521778	1	COG2130	Q	M
BAA15082.1	yncC	b1450	1521975	1522641	1	COG1802	K	T
BAE76444.1	yncD	b1451	1522676	1524779	-1	COG4772	P	M
BAE76445.1	yncE	b1452	1525020	1526082	1	COG3391	R	O
BAA15086.2	ansP	b1453	1526194	1527694	-1	COG1113	E	M
BAE76446.1	yncG	b1454	1527960	1528578	1	COG0625	O	O
BAE76447.1	yncH	b1455	1528653	1528866	1			
BAA15087.1	rhsE	b1456	1529603	1531652	1			
BAA15088.1	ydcD	b1457	1531635	1532118	1			
BAA15089.2	yncI	b1458	1532299	1533046	1			
BAA15090.2	yncM	b1459	1533089	1533290	1			
BAA15091.1	ydcC	b1460	1533529	1534666	1	COG5433	X	
BAA15092.1	ydcE	b1461	1534765	1534999	1	COG1942	Q	M
BAE76448.1	yddH	b1462	1534995	1535565	-1	COG1853	C	M
BAA15100.1	nhoA	b1463	1535737	1536583	1	COG2162	Q	M
BAA15101.1	yddE	b1464	1536678	1537572	-1	COG0384	R	O
BAA15102.1	narV	b1465	1537650	1538331	-1	COG2181	C	M
BAA15103.1	narW	b1466	1538327	1539023	-1	COG2180	C	M
BAA15104.1	narY	b1467	1539022	1540567	-1	COG1140	C	M
BAA15105.2	narZ	b1468	1540563	1544304	-1	COG5013	C	M
BAA15118.1	narU	b1469	1544385	1545774	-1	COG2223	P	M
BAE76449.1	yddJ	b1470	1546097	1546433	-1			
BAE76450.1	yddK	b1471	1546471	1547428	-1			
BAA15121.1	yddL	b1472	1547451	1547742	-1			
BAA15122.1	yddG	b1473	1548001	1548826	-1	COG0697	G	M
BAA15123.2	fdnG	b1474	1549114	1552162	1	COG0243	C	M
BAA15123.2	fdnG	b1474	1549114	1552162	1	COG3383	R	O
BAA15124.1	fdnH	b1475	1552174	1553059	1	COG0437	C	M
BAA15125.1	fdnI	b1476	1553051	1553705	1	COG2864	C	M
BAE76451.1	yddM	b1477	1554111	1554474	-1	COG3093	V	O
BAA15126.1	adhP	b1478	1554541	1555552	-1	COG1064	G	M
BAA15127.2	sfcA	b1479	1555685	1557383	-1	COG0281	C	M
BAE76452.1	sra	b1480	1557539	1557677	-1			
BAE76453.1	bdm	b1481	1557778	1557994	-1			
BAA15128.1	osmC	b1482	1558338	1558770	1	COG1764	V	O
BAA15138.1	ddpF	b1483	1558825	1559752	-1	COG4608	E	M
BAA15139.1	ddpD	b1484	1559744	1560731	-1	COG0444	E	M
BAA15140.1	ddpC	b1485	1560727	1561624	-1	COG1173	E	M
BAA15141.1	ddpB	b1486	1561620	1562643	-1	COG0601	E	M
BAA15142.2	ddpA	b1487	1562644	1564195	-1	COG0747	E	M
BAA15143.1	ddpX	b1488	1564208	1564790	-1	COG2173	M	O
BAA15154.1	dos	b1489	1565047	1567447	-1	COG2199	T	O
BAA15154.1	dos	b1489	1565047	1567447	-1	COG2200	T	O
BAA15154.1	dos	b1489	1565047	1567447	-1	COG2202	T	O
BAA15155.2	yddV	b1490	1567471	1568515	-1	COG3706	T	O
BAE76454.1	yddW	b1491	1569217	1570537	-1	COG1649	S	O
BAA15156.2	gadC	b1492	1570667	1572203	-1	COG0531	E	M
BAA15163.1	gadB	b1493	1572358	1573759	-1	COG0076	E	M
BAA15164.2	pqqL	b1494	1574120	1576916	-1	COG0612	R	O
BAA15166.1	yddB	b1495	1576960	1579333	-1	COG4771	P	M
BAA15167.2	yddA	b1496	1579370	1581056	-1	COG4178	R	O
BAA15168.1	ydeM	b1497	1581346	1582504	-1	COG0641	O	O
BAA15169.2	ydeN	b1498	1582555	1584238	-1	COG3119	P	M
BAA15173.2	ydeO	b1499	1584639	1585401	-1	COG2207	K	T
BAA15174.1	ydeP	b1501	1585920	1588200	-1	COG0243	C	M
BAA15175.1	ydeQ	b1502	1588533	1589448	-1	COG3539	N	O
BAA15176.1	ydeR	b1503	1589506	1590010	-1	COG3539	N	O
BAA15177.1	ydeS	b1504	1590022	1590553	-1	COG3539	N	O
BAA15178.2	ydeT	b1505	1590566	1591715	-1			
BAE76455.1	yneL	b1506	1592070	1592250	-1			
BAA15179.2	hipA	b1507	1592567	1593890	-1	COG3550	T	O
BAA15180.1	hipB	b1508	1593889	1594156	-1	COG1396	K	T
BAA15190.2	ydeK	b1510	1595822	1599800	-1			
BAA15191.1	ydeV	b1511	1600330	1601923	-1	COG1070	G	M
BAA15192.2	ydeW	b1512	1602001	1602955	-1	COG2390	K	T
BAA15200.1	ego	b1513	1603203	1604739	1	COG1129	G	M
BAA15201.1	lsrC	b1514	1604732	1605761	1	COG1172	G	M
BAA15202.1	lsrD	b1515	1605760	1606753	1	COG1172	G	M
BAE76456.1	lsrB	b1516	1606764	1607787	1	COG1879	G	M
BAE76457.1	lsrF	b1517	1607813	1608689	1	COG1830	G	M
BAE76458.1	lsrG	b1518	1608712	1609003	1	COG1359	C	M
BAE76459.1	tam	b1519	1609059	1609818	1	COG4106	C	M
BAE76460.1	yneE	b1520	1609821	1610736	-1	COG3781	P	M
BAA15204.1	uxaB	b1521	1610942	1612394	-1	COG0246	G	M
BAA15205.2	yneF	b1522	1612620	1613568	-1	COG2199	T	O
BAE76461.1	yneG	b1523	1613679	1614039	-1			
BAA15206.1	yneH	b1524	1614038	1614965	-1	COG2066	E	M
BAA15208.2	yneI	b1525	1615028	1616417	-1	COG1012	C	M
BAA15209.1	yneJ	b1526	1616517	1617399	1	COG0583	K	T
BAE76462.1	yneK	b1527	1617476	1618592	1			
BAA15210.1	ydeA	b1528	1618741	1619932	1	COG2814	G	M
BAA15211.2	marC	b1529	1619956	1620622	-1	COG2095	E	M
BAA15220.1	marR	b1530	1620833	1621268	1	COG1846	K	T
BAA15221.2	marA	b1531	1621287	1621671	1	COG4977	K	T
BAA15222.1	marB	b1532	1621702	1621921	1			
BAA15223.2	eamA	b1533	1621951	1622851	-1	COG0697	G	M
BAA15224.2	ydeE	b1534	1623045	1624233	1	COG2814	G	M
BAA18882.2	ydeH	b1535	1624673	1625564	-1	COG3706	T	O
BAA15226.1	ydeI	b1536	1625818	1626211	-1	COG3111	S	O
BAA15227.1	ydeJ	b1537	1626486	1627005	1	COG1546	H	M
BAA15228.1	dcp	b1538	1627048	1629094	-1	COG0339	E	M
BAA15241.1	ydfG	b1539	1629230	1629977	1	COG4221	C	M
BAA15242.1	ydfH	b1540	1630065	1630752	1	COG1802	K	T
BAE76463.1	ydfZ	b1541	1630928	1631132	1			
BAA15243.1	ydfI	b1542	1631166	1632627	-1	COG0246	G	M
BAA15248.1	ydfJ	b1543	1632715	1633999	-1			
BAE76464.1	ydfK	b1544	1634752	1635019	1			
BAA15249.1	pinQ	b1545	1635335	1635926	1	COG1961	L	T
BAA15250.1	tfaQ	b1546	1636023	1636599	-1			
BAA15251.1	stfQ	b1547	1636598	1637561	-1			
BAA15252.1	nohA	b1548	1637511	1638081	-1			
BAE76465.1	ynfO	b4533	1638469	1638703	1			
BAE76466.1	ydfO	b1549	1638760	1639171	1	COG5562	S	O
BAA15253.2	gnsB	b1550	1639322	1639496	-1			
BAE76467.1	ynfN	b1551	1639667	1639823	-1			
BAA15254.1	cspI	b1552	1640168	1640381	-1	COG1278	K	T
BAE76468.1	ydfP	b1553	1640743	1641241	-1			
BAE76469.1	ydfQ	b1554	1641237	1641771	-1	COG3772	M	O
BAE76470.1	ydfR	b1555	1641767	1642079	-1			
BAA15255.2	essQ	b1556	1642083	1642299	-1			
BAA15256.1	cspB	b1557	1643052	1643268	-1	COG1278	K	T
BAA15257.1	cspF	b1558	1643568	1643781	1	COG1278	K	T
BAA15258.1	ydfT	b1559	1644202	1644955	-1	COG0484	O	O
BAA15259.1	ydfU	b1560	1644968	1646018	-1			
BAA15260.1	rem	b1561	1646364	1646616	-1			
BAA15261.1	hokD	b1562	1646832	1646988	-1			
BAA15262.1	relE	b1563	1647059	1647347	-1	COG2026	V	O
BAA15263.1	relB	b1564	1647346	1647586	-1	COG3077	V	O
BAE76471.1	ydfV	b1565	1647610	1647916	1			
BAE76472.1	flxA	b1566	1648118	1648451	1			
BAE76473.1	ydfW	b1567	1648887	1649037	-1			
BAE76474.1	ydfX	b1568	1649059	1649350	-1			
BAA15274.1	dicC	b1569	1649333	1649564	-1			
BAA15275.1	dicA	b1570	1649647	1650055	1	COG1396	K	T
BAA15276.1	ydfA	b1571	1650221	1650377	1			
BAA15277.1	ydfB	b1572	1650378	1650507	1			
BAA15278.1	ydfC	b1573	1650536	1650755	1			
BAA15279.1	dicB	b1575	1651322	1651511	1			
BAA15280.1	ydfD	b1576	1651507	1651699	1			
BAA15281.2	ydfE	b1577	1651791	1652712	1			
BAA15283.2	insD	b1578	1652594	1653251	1			
BAE76475.1	intQ	b1579	1653225	1654422	1			
BAA15284.1	rspB	b1580	1654609	1655629	-1	COG1063	E	M
BAA15285.1	rspA	b1581	1655640	1656855	-1	COG4948	M	O
BAE76476.1	ynfA	b1582	1657060	1657387	-1	COG1742	R	O
BAE76477.1	ynfB	b1583	1657521	1657863	1			
BAA15286.2	speG	b1584	1657897	1658458	1	COG1670	J	T
BAE76478.1	ynfC	b1585	1658460	1659171	-1			
BAE76479.1	ynfD	b1586	1659278	1659584	1			
BAA15311.1	ynfE	b1587	1659782	1662209	1	COG0243	C	M
BAA15312.2	ynfF	b1588	1662269	1664693	1	COG0243	C	M
BAA15313.1	ynfG	b1589	1664703	1665321	1	COG0437	C	M
BAA15314.2	ynfH	b1590	1665322	1666177	1	COG3302	C	M
BAA15315.1	dmsD	b1591	1666219	1666834	1	COG3381	O	O
BAA15316.2	clcB	b1592	1667028	1668285	1	COG0038	P	M
BAA15317.2	ynfK	b1593	1668237	1668933	-1	COG0132	H	M
BAA15318.1	dgsA	b1594	1669057	1670278	-1	COG1940	K	T
BAA15319.1	ynfL	b1595	1670412	1671306	-1	COG0583	K	T
BAA15330.1	ynfM	b1596	1671412	1672666	1	COG2814	G	M
BAA15331.2	asr	b1597	1673089	1673398	1			
BAE76480.1	ydgD	b1598	1673673	1674495	1	COG3591	E	M
BAA15333.1	mdtI	b1599	1674533	1674863	-1	COG2076	V	O
BAA15334.1	mdtJ	b1600	1674849	1675215	-1	COG2076	V	O
BAA15335.1	ydgG	b1601	1675626	1676661	1	COG0628	R	O
BAA15336.1	pntB	b1602	1676685	1678074	-1	COG1282	C	M
BAA15342.1	pntA	b1603	1678084	1679617	-1	COG3288	C	M
BAE76481.1	ydgH	b1604	1680140	1681085	1			
BAA15343.1	ydgI	b1605	1681270	1682653	1	COG0531	E	M
