,gene,Step,E_coli_W3110
b1930,yedF,11,W3110_lambdaRed.CDS.1922
b1931,yedK,11,W3110_lambdaRed.CDS.1923
b1932,yedL,11,W3110_lambdaRed.CDS.1924
b1935,yedM,11,
b1937,fliE,11,W3110_lambdaRed.CDS.1925
b1938,fliF,11,W3110_lambdaRed.CDS.1926
b1939,fliG,11,W3110_lambdaRed.CDS.1927
b1940,fliH,11,W3110_lambdaRed.CDS.1928
b1941,fliI,11,W3110_lambdaRed.CDS.1929
b1942,fliJ,11,W3110_lambdaRed.CDS.1930
b1943,fliK,11,W3110_lambdaRed.CDS.1931
b1944,fliL,11,W3110_lambdaRed.CDS.1932
b1945,fliM,11,W3110_lambdaRed.CDS.1933
b1946,fliN,11,W3110_lambdaRed.CDS.1934
b1947,fliO,11,W3110_lambdaRed.CDS.1936
b1948,fliP,11,W3110_lambdaRed.CDS.1937
b1949,fliQ,11,W3110_lambdaRed.CDS.1938
b1950,fliR,11,W3110_lambdaRed.CDS.1939
b1951,rcsA,11,W3110_lambdaRed.CDS.1940
b1952,dsrB,11,W3110_lambdaRed.CDS.1941
b1953,yodD,11,W3110_lambdaRed.CDS.1942
b1959,yedA,11,W3110_lambdaRed.CDS.1947
b1960,vsr,11,W3110_lambdaRed.CDS.1948
b1961,dcm,11,W3110_lambdaRed.CDS.1949
b1962,yedJ,11,W3110_lambdaRed.CDS.1950
b1963,yedR,11,W3110_lambdaRed.CDS.1951
b1967,hchA,11,W3110_lambdaRed.CDS.1956
b1968,yedV,11,
b1969,yedW,11,
b1970,yedX,11,W3110_lambdaRed.CDS.1959
b1971,yedY,11,W3110_lambdaRed.CDS.1960
b1972,yedZ,11,W3110_lambdaRed.CDS.1961
b1973,yodA,11,W3110_lambdaRed.CDS.1962
b1994,insH,11,W3110_lambdaRed.CDS.1978
b1996,insD,11,
b1997,insC,11,
b1998,yoeE,11,
b2000,flu,11,W3110_lambdaRed.CDS.1985
b2001,yeeR,11,W3110_lambdaRed.CDS.1986
b2002,yeeS,11,W3110_lambdaRed.CDS.1987
b2003,yeeT,11,W3110_lambdaRed.CDS.1988
b2004,yeeU,11,W3110_lambdaRed.CDS.1989
b2005,yeeV,11,W3110_lambdaRed.CDS.1990
b2006,yeeW,11,W3110_lambdaRed.CDS.1991
b2030,insH,11,W3110_lambdaRed.CDS.629
b2030,insH,11,W3110_lambdaRed.CDS.1309
b2030,insH,11,W3110_lambdaRed.CDS.1887
b2030,insH,11,W3110_lambdaRed.CDS.2016
b2030,insH,11,W3110_lambdaRed.CDS.2081
b2030,insH,11,W3110_lambdaRed.CDS.2188
b2030,insH,11,W3110_lambdaRed.CDS.256
b2030,insH,11,W3110_lambdaRed.CDS.2982
b2030,insH,11,W3110_lambdaRed.CDS.3116
b2030,insH,11,W3110_lambdaRed.CDS.3221
b2030,insH,11,W3110_lambdaRed.CDS.3569
b2030,insH,11,W3110_lambdaRed.CDS.3572
b2030,insH,11,W3110_lambdaRed.CDS.3787
b2030,insH,11,W3110_lambdaRed.CDS.4109
b2030,insH,11,W3110_lambdaRed.CDS.552
b2030,insH,11,W3110_lambdaRed.CDS.667
b2032,wbbK,11,W3110_lambdaRed.CDS.2018
b2033,wbbJ,11,
b2034,wbbI,11,W3110_lambdaRed.CDS.2019
b2035,wbbH,11,W3110_lambdaRed.CDS.2020
b2036,glf,11,W3110_lambdaRed.CDS.2021
b2037,rfbX,11,W3110_lambdaRed.CDS.2022
b2038,rfbC,11,
b2039,rfbA,11,W3110_lambdaRed.CDS.2024
b2040,rfbD,11,W3110_lambdaRed.CDS.2025
b2041,rfbB,11,W3110_lambdaRed.CDS.2026
b2067,yegE,14,W3110_lambdaRed.CDS.2053
b2068,alkA,14,W3110_lambdaRed.CDS.2054
b2069,yegD,14,W3110_lambdaRed.CDS.2055
b2070,yegI,14,W3110_lambdaRed.CDS.2056
b2071,yegJ,14,W3110_lambdaRed.CDS.2057
b2072,yegK,14,W3110_lambdaRed.CDS.2058
b2073,yegL,14,W3110_lambdaRed.CDS.2059
b2074,mdtA,14,W3110_lambdaRed.CDS.2060
b2075,mdtB,14,W3110_lambdaRed.CDS.2061
b2076,mdtC,14,W3110_lambdaRed.CDS.2062
b2077,mdtD,14,W3110_lambdaRed.CDS.2063
b2078,baeS,14,
b2079,baeR,14,W3110_lambdaRed.CDS.2065
b2080,yegP,14,W3110_lambdaRed.CDS.2067
b2081,yegQ,14,W3110_lambdaRed.CDS.2068
b2082,ogrK,14,W3110_lambdaRed.CDS.2069
b2085,yegR,14,W3110_lambdaRed.CDS.2071
b2086,yegS,14,W3110_lambdaRed.CDS.2072
b2088,insE,14,W3110_lambdaRed.CDS.2074
b2088,insE,14,W3110_lambdaRed.CDS.295
b2088,insE,14,W3110_lambdaRed.CDS.369
b2088,insE,14,W3110_lambdaRed.CDS.540
b2089,insF,14,
b2091,gatD,14,W3110_lambdaRed.CDS.2077
b2092,gatC,14,W3110_lambdaRed.CDS.2078
b2093,gatB,14,W3110_lambdaRed.CDS.2079
b2094,gatA,14,W3110_lambdaRed.CDS.2080
b2094,gatA,14,W3110_lambdaRed.CDS.2080
b2095,gatZ,14,W3110_lambdaRed.CDS.2083
b2096,gatY,14,W3110_lambdaRed.CDS.2084
b2097,fbaB,14,W3110_lambdaRed.CDS.2085
b2098,yegT,14,W3110_lambdaRed.CDS.2086
b2099,yegU,14,W3110_lambdaRed.CDS.2087
b2100,yegV,14,W3110_lambdaRed.CDS.2088
b2101,yegW,14,W3110_lambdaRed.CDS.2089
b2102,yegX,14,W3110_lambdaRed.CDS.2090
b2118,yehI,14,W3110_lambdaRed.CDS.2106
b2119,yehL,14,W3110_lambdaRed.CDS.2107
b2120,yehM,14,W3110_lambdaRed.CDS.2108
b2121,yehP,14,W3110_lambdaRed.CDS.2109
b2122,yehQ,14,W3110_lambdaRed.CDS.2110
b2123,yehR,14,W3110_lambdaRed.CDS.2112
b2124,yehS,14,W3110_lambdaRed.CDS.2113
b2125,yehT,14,
b2126,yehU,14,W3110_lambdaRed.CDS.2115
b2127,mlrA,14,W3110_lambdaRed.CDS.2116
b2128,yehW,14,W3110_lambdaRed.CDS.2117
b2129,yehX,14,W3110_lambdaRed.CDS.2118
b2130,yehY,14,W3110_lambdaRed.CDS.2119
b2131,yehZ,14,W3110_lambdaRed.CDS.2120
b2132,bglX,14,W3110_lambdaRed.CDS.2121
b2133,dld,14,W3110_lambdaRed.CDS.2123
b2134,pbpG,14,W3110_lambdaRed.CDS.2124
b2135,yohC,14,W3110_lambdaRed.CDS.2125
b2160,yeiI,14,W3110_lambdaRed.CDS.2153
b2161,yeiJ,14,W3110_lambdaRed.CDS.2154
b2162,rihB,14,W3110_lambdaRed.CDS.2155
b2163,yeiL,14,W3110_lambdaRed.CDS.2156
b2164,yeiM,14,W3110_lambdaRed.CDS.2157
b2165,yeiN,14,W3110_lambdaRed.CDS.2158
b2166,yeiC,14,W3110_lambdaRed.CDS.2159
b2266,elaB,25,W3110_lambdaRed.CDS.2269
b2267,elaA,25,W3110_lambdaRed.CDS.2270
b2268,elaC,25,W3110_lambdaRed.CDS.2271
b2269,elaD,25,W3110_lambdaRed.CDS.2272
b2270,yfbK,25,W3110_lambdaRed.CDS.2273
b2271,yfbL,25,W3110_lambdaRed.CDS.2274
b2272,yfbM,25,W3110_lambdaRed.CDS.2275
b2273,yfbN,25,W3110_lambdaRed.CDS.2276
b2274,yfbO,25,W3110_lambdaRed.CDS.2277
b2275,yfbP,25,W3110_lambdaRed.CDS.2278
b2298,yfcC,23,W3110_lambdaRed.CDS.2304
b2299,yfcD,23,W3110_lambdaRed.CDS.2305
b2300,yfcE,23,W3110_lambdaRed.CDS.2306
b2301,yfcF,23,W3110_lambdaRed.CDS.2307
b2302,yfcG,23,W3110_lambdaRed.CDS.2308
b2303,folX,23,W3110_lambdaRed.CDS.2309
b2304,yfcH,23,W3110_lambdaRed.CDS.2310
b2305,yfcI,23,W3110_lambdaRed.CDS.2311
b2306,hisP,23,W3110_lambdaRed.CDS.2312
b2307,hisM,23,W3110_lambdaRed.CDS.2313
b2308,hisQ,23,W3110_lambdaRed.CDS.2314
b2309,hisJ,23,W3110_lambdaRed.CDS.2315
b2349,intS,23,W3110_lambdaRed.CDS.2356
b2350,yfdG,23,
b2351,yfdH,23,W3110_lambdaRed.CDS.2357
b2352,yfdI,23,W3110_lambdaRed.CDS.2358
b2354,yfdK,23,W3110_lambdaRed.CDS.2360
b2355,yfdL,23,W3110_lambdaRed.CDS.2361
b2356,yfdM,23,W3110_lambdaRed.CDS.2362
b2357,yfdN,23,W3110_lambdaRed.CDS.2363
b2358,yfdO,23,W3110_lambdaRed.CDS.2364
b2359,yfdP,23,W3110_lambdaRed.CDS.2366
b2360,yfdQ,23,W3110_lambdaRed.CDS.2367
b2361,yfdR,23,W3110_lambdaRed.CDS.2368
b2362,yfdS,23,W3110_lambdaRed.CDS.2369
b2363,yfdT,23,W3110_lambdaRed.CDS.2370
b2481,hyfA,29,W3110_lambdaRed.CDS.2478
b2482,hyfB,29,W3110_lambdaRed.CDS.2479
b2483,hyfC,29,W3110_lambdaRed.CDS.2480
b2484,hyfD,29,W3110_lambdaRed.CDS.2481
b2485,hyfE,29,W3110_lambdaRed.CDS.2482
b2486,hyfF,29,W3110_lambdaRed.CDS.2483
b2487,hyfG,29,W3110_lambdaRed.CDS.2484
b2488,hyfH,29,W3110_lambdaRed.CDS.2485
b2489,hyfI,29,W3110_lambdaRed.CDS.2486
b2490,hyfJ,29,W3110_lambdaRed.CDS.2487
b2491,hyfR,29,W3110_lambdaRed.CDS.2488
b2492,focB,29,W3110_lambdaRed.CDS.2489
b2622,intA,12,W3110_lambdaRed.CDS.2620
b2623,yfjH,12,W3110_lambdaRed.CDS.2621
b2624,alpA,12,W3110_lambdaRed.CDS.2622
b2625,yfjI,12,W3110_lambdaRed.CDS.2623
b2626,yfjJ,12,
b2627,yfjK,12,W3110_lambdaRed.CDS.2624
b2628,yfjL,12,W3110_lambdaRed.CDS.2625
b2629,yfjM,12,W3110_lambdaRed.CDS.2626
b2630,yfjN,12,W3110_lambdaRed.CDS.2627
b2631,yfjO,12,W3110_lambdaRed.CDS.2628
b2632,yfjP,12,W3110_lambdaRed.CDS.2629
b2633,yfjQ,12,W3110_lambdaRed.CDS.2630
b2634,yfjR,12,W3110_lambdaRed.CDS.2631
b2635,ypjK,12,W3110_lambdaRed.CDS.2632
b2636,yfjS,12,W3110_lambdaRed.CDS.2633
b2637,yfjT,12,W3110_lambdaRed.CDS.2634
b2638,yfjU,12,
b2639,ypjL,12,
b2640,yfjV,12,
b2642,yfjW,12,W3110_lambdaRed.CDS.2638
b2643,yfjX,12,W3110_lambdaRed.CDS.2640
b2644,yfjY,12,W3110_lambdaRed.CDS.2641
b2645,yfjZ,12,W3110_lambdaRed.CDS.2642
b2646,ypjF,12,W3110_lambdaRed.CDS.2643
b2647,ypjA,12,W3110_lambdaRed.CDS.2644
b2649,ypjB,12,W3110_lambdaRed.CDS.2647
b2650,ypjC,12,W3110_lambdaRed.CDS.2648
b2654,ygaQ,12,
b2658,yqaD,12,
b2664,csiR,12,W3110_lambdaRed.CDS.2657
b2665,ygaU,12,W3110_lambdaRed.CDS.2658
b2666,yqaE,12,W3110_lambdaRed.CDS.2659
b2667,ygaV,12,W3110_lambdaRed.CDS.2660
b2668,ygaP,12,W3110_lambdaRed.CDS.2661
b2669,stpA,12,W3110_lambdaRed.CDS.2662
b2670,ygaW,12,W3110_lambdaRed.CDS.2663
b2671,ygaC,12,W3110_lambdaRed.CDS.2664
b2672,ygaM,12,W3110_lambdaRed.CDS.2665
b2673,nrdH,12,W3110_lambdaRed.CDS.2666
b2674,nrdI,12,W3110_lambdaRed.CDS.2667
b2675,nrdE,12,W3110_lambdaRed.CDS.2668
b2702,srlA,12,W3110_lambdaRed.CDS.2694
b2703,srlE,12,W3110_lambdaRed.CDS.2695
b2704,srlB,12,W3110_lambdaRed.CDS.2696
b2705,srlD,12,W3110_lambdaRed.CDS.2697
b2706,gutM,12,W3110_lambdaRed.CDS.2698
b2707,srlR,12,W3110_lambdaRed.CDS.2699
b2708,gutQ,12,W3110_lambdaRed.CDS.2700
b2782,chpA,27,W3110_lambdaRed.CDS.2781
b2790,yqcA,29,W3110_lambdaRed.CDS.2792
b2791,yqcB,29,W3110_lambdaRed.CDS.2793
b2792,yqcC,29,W3110_lambdaRed.CDS.2794
b2793,syd,29,W3110_lambdaRed.CDS.2795
b2794,yqcD,29,W3110_lambdaRed.CDS.2796
b2795,ygdH,29,W3110_lambdaRed.CDS.2797
b2796,sdaC,29,W3110_lambdaRed.CDS.2798
b2797,sdaB,29,W3110_lambdaRed.CDS.2799
b2798,exo,29,W3110_lambdaRed.CDS.2800
b2799,fucO,29,W3110_lambdaRed.CDS.2801
b2800,fucA,29,W3110_lambdaRed.CDS.2802
b2801,fucP,29,W3110_lambdaRed.CDS.2803
b2802,fucI,29,W3110_lambdaRed.CDS.2804
b2803,fucK,29,W3110_lambdaRed.CDS.2805
b2804,fucU,29,W3110_lambdaRed.CDS.2806
b2805,fucR,29,W3110_lambdaRed.CDS.2807
b2806,ygdE,29,W3110_lambdaRed.CDS.2808
b2807,ygdD,29,W3110_lambdaRed.CDS.2809
b2808,gcvA,29,W3110_lambdaRed.CDS.2810
b2809,ygdI,29,W3110_lambdaRed.CDS.2811
b2810,csdA,29,W3110_lambdaRed.CDS.2812
b2811,ygdK,29,W3110_lambdaRed.CDS.2813
b2845,yqeG,8,W3110_lambdaRed.CDS.2846
b2846,yqeH,8,W3110_lambdaRed.CDS.2847
b2847,yqeI,8,W3110_lambdaRed.CDS.2849
b2848,yqeJ,8,W3110_lambdaRed.CDS.2850
b2849,yqeK,8,
b2850,ygeF,8,
b2851,ygeG,8,W3110_lambdaRed.CDS.2852
b2852,ygeH,8,W3110_lambdaRed.CDS.2853
b2853,ygeI,8,W3110_lambdaRed.CDS.2854
b2855,ygeK,8,
b2856,ygeL,8,
b2857,ygeM,8,W3110_lambdaRed.CDS.2857
b2859,ygeO,8,
b2860,insD,8,
b2861,insC,8,
b2862,ygeP,8,
b2863,ygeQ,8,W3110_lambdaRed.CDS.2861
b2865,ygeR,8,W3110_lambdaRed.CDS.2862
b2866,xdhA,8,W3110_lambdaRed.CDS.2863
b2867,xdhB,8,W3110_lambdaRed.CDS.2864
b2868,xdhC,8,W3110_lambdaRed.CDS.2865
b2869,ygeV,8,W3110_lambdaRed.CDS.2866
b2870,ygeW,8,W3110_lambdaRed.CDS.2867
b2871,ygeX,8,W3110_lambdaRed.CDS.2868
b2872,ygeY,8,W3110_lambdaRed.CDS.2869
b2873,hyuA,8,W3110_lambdaRed.CDS.2870
b2874,yqeA,8,W3110_lambdaRed.CDS.2871
b2875,yqeB,8,W3110_lambdaRed.CDS.2872
b2876,yqeC,8,W3110_lambdaRed.CDS.2873
b2877,ygfJ,8,W3110_lambdaRed.CDS.2874
b2878,ygfK,8,W3110_lambdaRed.CDS.2875
b2879,ssnA,8,W3110_lambdaRed.CDS.2876
b2880,ygfM,8,W3110_lambdaRed.CDS.2877
b2881,xdhD,8,W3110_lambdaRed.CDS.2878
b2882,ygfO,8,W3110_lambdaRed.CDS.2879
b2883,guaD,8,W3110_lambdaRed.CDS.2880
b2886,ygfS,8,W3110_lambdaRed.CDS.2882
b2887,ygfT,8,W3110_lambdaRed.CDS.2883
b2888,ygfU,8,W3110_lambdaRed.CDS.2884
b2889,idi,8,W3110_lambdaRed.CDS.2886
b2933,cmtA,15,W3110_lambdaRed.CDS.2931
b2934,cmtB,15,W3110_lambdaRed.CDS.2932
b2968,yghD,2,W3110_lambdaRed.CDS.2967
b2970,yghF,2,W3110_lambdaRed.CDS.2969
b2971,yghG,2,W3110_lambdaRed.CDS.2970
b2972,pppA,2,W3110_lambdaRed.CDS.2971
b2975,yghK,2,W3110_lambdaRed.CDS.2974
b2976,glcB,2,W3110_lambdaRed.CDS.2975
b2977,glcG,2,W3110_lambdaRed.CDS.2976
b2979,glcD,2,W3110_lambdaRed.CDS.2979
b2980,glcC,2,W3110_lambdaRed.CDS.2980
b2981,yghO,2,W3110_lambdaRed.CDS.2981
b2982,insH,2,W3110_lambdaRed.CDS.1309
b2982,insH,2,W3110_lambdaRed.CDS.1887
b2982,insH,2,W3110_lambdaRed.CDS.2016
b2982,insH,2,W3110_lambdaRed.CDS.2081
b2982,insH,2,W3110_lambdaRed.CDS.2188
b2982,insH,2,W3110_lambdaRed.CDS.256
b2982,insH,2,W3110_lambdaRed.CDS.2982
b2982,insH,2,W3110_lambdaRed.CDS.3116
b2982,insH,2,W3110_lambdaRed.CDS.3221
b2982,insH,2,W3110_lambdaRed.CDS.3569
b2982,insH,2,W3110_lambdaRed.CDS.3572
b2982,insH,2,W3110_lambdaRed.CDS.3787
b2982,insH,2,W3110_lambdaRed.CDS.4109
b2982,insH,2,W3110_lambdaRed.CDS.552
b2982,insH,2,W3110_lambdaRed.CDS.629
b2982,insH,2,W3110_lambdaRed.CDS.667
b2983,yghQ,2,W3110_lambdaRed.CDS.2983
b2984,yghR,2,W3110_lambdaRed.CDS.2984
b2985,yghS,2,W3110_lambdaRed.CDS.2985
b2986,yghT,2,W3110_lambdaRed.CDS.2986
b3020,ygiS,21,W3110_lambdaRed.CDS.3021
b3021,ygiT,21,W3110_lambdaRed.CDS.3022
b3022,ygiU,21,
b3023,ygiV,21,W3110_lambdaRed.CDS.3023
b3024,ygiW,21,W3110_lambdaRed.CDS.3024
b3025,qseB,21,
b3026,qseC,21,
b3027,ygiZ,21,
b3028,mdaB,21,W3110_lambdaRed.CDS.3027
b3029,ygiN,21,W3110_lambdaRed.CDS.3028
b3078,ygjI,29,W3110_lambdaRed.CDS.3078
b3079,ygjJ,29,W3110_lambdaRed.CDS.3079
b3080,ygjK,29,W3110_lambdaRed.CDS.3080
b3081,fadH,29,W3110_lambdaRed.CDS.3083
b3082,ygjM,29,W3110_lambdaRed.CDS.3084
b3083,ygjN,29,W3110_lambdaRed.CDS.3085
b3084,ygjO,29,W3110_lambdaRed.CDS.3086
b3085,ygjP,29,W3110_lambdaRed.CDS.3087
b3086,ygjQ,29,W3110_lambdaRed.CDS.3088
b3087,ygjR,29,W3110_lambdaRed.CDS.3089
b3088,alx,29,W3110_lambdaRed.CDS.3090
b3089,sstT,29,W3110_lambdaRed.CDS.3091
b3214,gltF,13,W3110_lambdaRed.CDS.3217
b3215,yhcA,13,W3110_lambdaRed.CDS.3218
b3216,yhcD,13,W3110_lambdaRed.CDS.3219
b3218,insH,13,W3110_lambdaRed.CDS.667
b3218,insH,13,W3110_lambdaRed.CDS.1309
b3218,insH,13,W3110_lambdaRed.CDS.1887
b3218,insH,13,W3110_lambdaRed.CDS.2016
b3218,insH,13,W3110_lambdaRed.CDS.2081
b3218,insH,13,W3110_lambdaRed.CDS.2188
b3218,insH,13,W3110_lambdaRed.CDS.256
b3218,insH,13,W3110_lambdaRed.CDS.2982
b3218,insH,13,W3110_lambdaRed.CDS.3116
b3218,insH,13,W3110_lambdaRed.CDS.3221
b3218,insH,13,W3110_lambdaRed.CDS.3569
b3218,insH,13,W3110_lambdaRed.CDS.3572
b3218,insH,13,W3110_lambdaRed.CDS.3787
b3218,insH,13,W3110_lambdaRed.CDS.4109
b3218,insH,13,W3110_lambdaRed.CDS.552
b3218,insH,13,W3110_lambdaRed.CDS.629
b3219,yhcF,13,W3110_lambdaRed.CDS.3223
b3220,yhcG,13,W3110_lambdaRed.CDS.3224
b3221,yhcH,13,W3110_lambdaRed.CDS.3225
b3222,nanK,13,W3110_lambdaRed.CDS.3226
b3262,yhdJ,26,W3110_lambdaRed.CDS.3266
b3263,yhdU,26,W3110_lambdaRed.CDS.3267
b3264,envR,26,W3110_lambdaRed.CDS.3268
b3265,acrE,26,W3110_lambdaRed.CDS.3269
b3266,acrF,26,W3110_lambdaRed.CDS.3270
b3267,yhdV,26,W3110_lambdaRed.CDS.3271
b3268,yhdW,26,
b3269,yhdX,26,W3110_lambdaRed.CDS.3274
b3270,yhdY,26,W3110_lambdaRed.CDS.3275
b3323,gspA,24,W3110_lambdaRed.CDS.3976
b3324,gspC,24,W3110_lambdaRed.CDS.3975
b3325,gspD,24,W3110_lambdaRed.CDS.3974
b3326,gspE,24,W3110_lambdaRed.CDS.3973
b3327,gspF,24,W3110_lambdaRed.CDS.3972
b3328,gspG,24,W3110_lambdaRed.CDS.3971
b3329,gspH,24,W3110_lambdaRed.CDS.3970
b3330,gspI,24,W3110_lambdaRed.CDS.3969
b3331,gspJ,24,W3110_lambdaRed.CDS.3968
b3332,gspK,24,W3110_lambdaRed.CDS.3967
b3333,gspL,24,W3110_lambdaRed.CDS.3966
b3334,gspM,24,W3110_lambdaRed.CDS.3965
b3335,gspO,24,W3110_lambdaRed.CDS.3964
b3336,bfr,24,W3110_lambdaRed.CDS.3963
b3337,bfd,24,W3110_lambdaRed.CDS.3962
b3338,chiA,24,W3110_lambdaRed.CDS.3961
b3369,yhfL,29,W3110_lambdaRed.CDS.3928
b3370,frlA,29,W3110_lambdaRed.CDS.3927
b3371,frlB,29,W3110_lambdaRed.CDS.3926
b3374,frlD,29,W3110_lambdaRed.CDS.3924
b3375,frlR,29,W3110_lambdaRed.CDS.3923
b3376,yhfS,29,W3110_lambdaRed.CDS.3922
b3377,yhfT,29,W3110_lambdaRed.CDS.3921
b3378,yhfU,29,W3110_lambdaRed.CDS.3920
b3379,php,29,W3110_lambdaRed.CDS.3919
b3380,yhfW,29,W3110_lambdaRed.CDS.3918
b3381,yhfX,29,W3110_lambdaRed.CDS.3917
b3382,yhfY,29,W3110_lambdaRed.CDS.3916
b3383,yhfZ,29,W3110_lambdaRed.CDS.3915
b3440,yhhX,29,W3110_lambdaRed.CDS.3858
b3441,yhhY,29,W3110_lambdaRed.CDS.3857
b3442,yhhZ,29,W3110_lambdaRed.CDS.3856
b3443,yrhA,29,
b3444,insA,29,
b3445,insB,29,
b3446,yrhB,29,W3110_lambdaRed.CDS.3852
b3482,rhsB,19,W3110_lambdaRed.CDS.3814
b3483,yhhH,19,
b3484,yhhI,19,W3110_lambdaRed.CDS.3813
b3485,yhhJ,19,W3110_lambdaRed.CDS.3812
b3486,rbbA,19,W3110_lambdaRed.CDS.3811
b3487,yhiI,19,W3110_lambdaRed.CDS.3810
b3488,yhiJ,19,W3110_lambdaRed.CDS.3808
b3490,yhiL,19,W3110_lambdaRed.CDS.3807
b3491,yhiM,19,W3110_lambdaRed.CDS.3804
b3492,yhiN,19,W3110_lambdaRed.CDS.3803
b3659,setC,29,W3110_lambdaRed.CDS.3623
b3660,yicL,29,W3110_lambdaRed.CDS.3622
b3661,nlpA,29,W3110_lambdaRed.CDS.3621
b3662,yicM,29,W3110_lambdaRed.CDS.3619
b3663,yicN,29,W3110_lambdaRed.CDS.3618
b3664,yicO,29,W3110_lambdaRed.CDS.3617
b3665,ade,29,W3110_lambdaRed.CDS.3616
b3674,yidF,10,W3110_lambdaRed.CDS.3607
b3675,yidG,10,W3110_lambdaRed.CDS.3606
b3676,yidH,10,W3110_lambdaRed.CDS.3605
b3677,yidI,10,W3110_lambdaRed.CDS.3604
b3678,yidJ,10,W3110_lambdaRed.CDS.3603
b3679,yidK,10,W3110_lambdaRed.CDS.3602
b3680,yidL,10,W3110_lambdaRed.CDS.3601
b3682,glvB,10,W3110_lambdaRed.CDS.3598
b3683,glvC,10,W3110_lambdaRed.CDS.3597
b3684,yidP,10,W3110_lambdaRed.CDS.3596
b3685,yidE,10,W3110_lambdaRed.CDS.3595
b3688,yidQ,10,W3110_lambdaRed.CDS.3592
b3689,yidR,10,W3110_lambdaRed.CDS.3591
b3690,cbrA,10,W3110_lambdaRed.CDS.3590
b3691,dgoT,10,W3110_lambdaRed.CDS.3589
b3693,dgoK,10,W3110_lambdaRed.CDS.3586
b3696,yidX,10,W3110_lambdaRed.CDS.3584
b3697,yidA,10,W3110_lambdaRed.CDS.3583
b3698,yidB,10,W3110_lambdaRed.CDS.3582
b3745,yieM,10,W3110_lambdaRed.CDS.3529
b3746,yieN,10,W3110_lambdaRed.CDS.3528
b3747,trkD,10,W3110_lambdaRed.CDS.3527
b3748,rbsD,10,W3110_lambdaRed.CDS.3526
b3749,rbsA,10,W3110_lambdaRed.CDS.3525
b3750,rbsC,10,W3110_lambdaRed.CDS.3524
b3751,rbsB,10,W3110_lambdaRed.CDS.3523
b3752,rbsK,10,W3110_lambdaRed.CDS.3522
b3753,rbsR,10,W3110_lambdaRed.CDS.3521
b3754,hsrA,10,W3110_lambdaRed.CDS.3520
b3872,yihL,7,W3110_lambdaRed.CDS.3413
b3873,yihM,7,W3110_lambdaRed.CDS.3412
b3874,yihN,7,W3110_lambdaRed.CDS.3411
b3875,ompL,7,W3110_lambdaRed.CDS.3410
b3876,yihO,7,W3110_lambdaRed.CDS.3409
b3877,yihP,7,W3110_lambdaRed.CDS.3408
b3878,yihQ,7,W3110_lambdaRed.CDS.3407
b3879,yihR,7,W3110_lambdaRed.CDS.3406
b3880,yihS,7,W3110_lambdaRed.CDS.3405
b3881,yihT,7,W3110_lambdaRed.CDS.3404
b3882,yihU,7,W3110_lambdaRed.CDS.3403
b3883,yihV,7,W3110_lambdaRed.CDS.3402
b3884,yihW,7,W3110_lambdaRed.CDS.3401
b3885,yihX,7,W3110_lambdaRed.CDS.3400
b3886,rbn,7,W3110_lambdaRed.CDS.3399
b3887,dtd,7,W3110_lambdaRed.CDS.3398
b3888,yiiD,7,W3110_lambdaRed.CDS.3397
b3889,yiiE,7,W3110_lambdaRed.CDS.3396
b3890,yiiF,7,W3110_lambdaRed.CDS.3395
b3896,yiiG,7,W3110_lambdaRed.CDS.3387
b3897,frvR,7,W3110_lambdaRed.CDS.3386
b3898,frvX,7,W3110_lambdaRed.CDS.3385
b3899,frvB,7,W3110_lambdaRed.CDS.3384
b3900,frvA,7,W3110_lambdaRed.CDS.3383
b3901,yiiL,7,W3110_lambdaRed.CDS.3382
b3902,rhaD,7,W3110_lambdaRed.CDS.3381
b3903,rhaA,7,W3110_lambdaRed.CDS.3380
b3904,rhaB,7,W3110_lambdaRed.CDS.3379
b3905,rhaS,7,W3110_lambdaRed.CDS.3377
b3906,rhaR,7,W3110_lambdaRed.CDS.3376
b3907,rhaT,7,W3110_lambdaRed.CDS.3375
b3947,ptsA,7,W3110_lambdaRed.CDS.3333
b3949,frwC,7,W3110_lambdaRed.CDS.3332
b3950,frwB,7,W3110_lambdaRed.CDS.3331
b3951,pflD,7,W3110_lambdaRed.CDS.3330
b3952,pflC,7,W3110_lambdaRed.CDS.3329
b3953,frwD,7,W3110_lambdaRed.CDS.3328
b3954,yijO,7,W3110_lambdaRed.CDS.3327
b3955,yijP,7,W3110_lambdaRed.CDS.3326
b4026,yjbE,3,W3110_lambdaRed.CDS.4038
b4027,yjbF,3,W3110_lambdaRed.CDS.4039
b4028,yjbG,3,W3110_lambdaRed.CDS.4040
b4029,yjbH,3,W3110_lambdaRed.CDS.4041
b4030,yjbA,3,W3110_lambdaRed.CDS.4044
b4031,xylE,3,W3110_lambdaRed.CDS.4045
b4032,malG,3,W3110_lambdaRed.CDS.4046
b4033,malF,3,W3110_lambdaRed.CDS.4047
b4034,malE,3,W3110_lambdaRed.CDS.4048
b4035,malK,3,W3110_lambdaRed.CDS.4049
b4036,lamB,3,W3110_lambdaRed.CDS.4050
b4037,malM,3,W3110_lambdaRed.CDS.4051
b4038,yjbI,3,W3110_lambdaRed.CDS.4054
b4181,yjfI,18,W3110_lambdaRed.CDS.4207
b4182,yjfJ,18,W3110_lambdaRed.CDS.4208
b4183,yjfK,18,W3110_lambdaRed.CDS.4209
b4184,yjfL,18,W3110_lambdaRed.CDS.4210
